#tail	head
RPL9	RRP1B
RPL9	RPL35A
RPL9	RPS11
RPL9	RPL24
RPL9	RPL36
RPL9	RPL23A
RPL9	RPS8
HIST1H3I	RPL24
HIST1H3I	RPL36
HIST1H3I	LARP7
HIST1H3I	SF3B2
HIST1H3I	RRP1B
RPL36	RPS11
RPL36	RPL23A
RPL36	LARP7
RPL36	RPL24
RPL36	RPL35A
RPL36	RRP1B
RPL36	RPS8
RPL23A	LARP7
RPL23A	RPL24
RPL23A	RPL35A
RPL23A	RRP1B
RPL23A	RPS8
RPL23A	RPS11
RPS8	RRP1B
RPS8	RPL35A
RPS8	LARP7
RPS8	RPL24
RPS8	RPS11
RPS8	SF3B2
RPL35A	RRP1B
RPL35A	RPS11
RPL35A	RPL24
RPL24	RRP1B
RPL24	RPS11
SF3B2	LSM6
LSM6	LARP7
LARP7	RRP1B
LARP7	RPS11
RPS11	RRP1B
