#tail	head
NCL	RPL24
NCL	TCOF1
NCL	YY1
NCL	NOLC1
NCL	CHD3
NCL	EIF3D
YWHAE	PRKACA
YWHAE	NOLC1
YWHAE	OFD1
YWHAE	TUBG2
YWHAE	NDE1
YWHAE	YY1
NDE1	OFD1
NDE1	PRKACA
NDE1	TUBG2
PML	XDH
PML	CYP2C9
PML	GABPB2
PML	CHD3
PML	EPO
TXNDC9	TUBG2
TXNDC9	PCF11
TXNDC9	CHD3
YY1	ZFAT
YY1	PRKACA
YY1	PCF11
YY1	ZBTB11
YY1	PSMD8
GABPB2	ZBTB11
GABPB2	TCOF1
GABPB2	PRKACA
PPARA	ZFAT
PPARA	IGF2BP2
PPARA	XDH
PPARA	CYP2C9
PPARA	PRKACA
TCOF1	RPL24
TCOF1	NOLC1
TCOF1	OFD1
RPS4Y2	RPL24
RPS4Y2	EIF3D
EPO	SMO
EPO	XDH
XDH	CYP2C9
CHD3	IGF2BP2
CHD3	NOLC1
CHD3	RPL24
RPL24	MCC
RPL24	NOLC1
SMO	BBS5
MCC	PSMD8
MCC	EIF3D
OFD1	TUBG2
OFD1	IGF2BP2
OFD1	PRKACA
NOLC1	PRKACA
PRKACA	TUBG2
PRKACA	CYP2C9
PSMD8	BBS5
