#tail	head
GPM6A	MAPT
GPM6A	FOXA1
MYBPC2	CNGB1
MYBPC2	CHRNA2
MYBPC2	TRPA1
MYBPC2	TNNI2
MYBPC2	RYR1
AR	SNX2
AR	AKR1C3
AR	CYP1B1
AR	FOXA1
PROX1	AKR1C3
PROX1	LBH
KDELR2	ARCN1
KDELR2	COPB1
KDELR2	KIF4B
TRPA1	RYR1
TRPA1	TNNI2
TRPA1	CNGB1
TRPA1	PPP3CA
CNGB1	CHRNA2
CNGB1	TNNI2
CNGB1	PPP3CA
CNGB1	EXOC2
CNGB1	RYR1
ARCN1	COPB1
ARCN1	KIF4B
ARCN1	EFTUD2
MGP	FOXA1
MGP	RYR1
MGP	HTN3
FOXA1	AKR1C3
FOXA1	TLE4
MAPT	DGUOK
TLE4	TNNI2
DGUOK	L1CAM
KIF4B	L1CAM
KIF4B	COPB1
EXOC2	EFTUD2
HTN3	AKR1C3
AKR1C3	CYP1B1
AKR1C3	TMEM205
RYR1	TNNI2
RYR1	PPP3CA
TNNI2	CHRNA2
PPP3CA	CHRNA2
PPP3CA	LBH
CYP1B1	TMEM205
