#tail	head
TMOD1	TNNT1
TMOD1	TRPM6
TMOD1	CACNB2
TMOD1	CATSPERB
TMOD1	TNNC2
TMOD1	P2RX3
TMOD1	MYL3
TMOD1	CATSPER1
TNNC2	ACTN3
TNNC2	CACNB4
TNNC2	CACNB2
TNNC2	GRIA4
TNNC2	TNNT1
TNNC2	P2RX3
TNNC2	CATSPERB
TNNC2	MYL3
TNNC2	CATSPER1
CACNB4	MYL3
CACNB4	CACNB2
CACNB4	TNNT1
CACNB2	P2RX3
CACNB2	MYL3
CACNB2	GRIA4
CACNB2	CATSPER1
CACNB2	TNNT1
CACNB2	ACTN3
ACTN3	CATSPER1
ACTN3	TNNT1
ACTN3	TRPM6
ACTN3	P2RX3
P2RX3	TNNT1
P2RX3	MYL3
TRPM6	MYL3
TRPM6	TNNT1
TNNT1	CATSPERB
TNNT1	CATSPER1
CATSPER1	CATSPERB
CATSPERB	MYL3
