#tail	head
NAPA	YAP1
NAPA	DDX17
NAPA	GAK
NAPA	LRPPRC
NAPA	SNW1
NAPA	ARFGAP1
NAPA	TNRC6A
NAPA	SREBF1
NAPA	FUS
NAPA	RPA3
NAPA	AASDHPPT
NAPA	GNAI2
NAPA	PSMC6
NAPA	YWHAE
NAPA	MAX
NAPA	NPM1
NAPA	EIF4ENIF1
NAPA	SPTBN1
NAPA	PPP1CA
IGF2	PTK2
IGF2	RELA
IGF2	NGB
IGF2	CCNE1
IGF2	ZNHIT3
IGF2	ADIPOQ
IGF2	CCL2
IGF2	IL6
IGF2	XBP1
IGF2	CREBBP
IGF2	HMOX1
IGF2	SHC1
IGF2	CACNA1E
IGF2	DHRS7
IGF2	VIM
IGF2	CDKN1A
PPP1CA	CCNB1
PPP1CA	YAP1
PPP1CA	ACADM
PPP1CA	AATK
PPP1CA	HDAC3
PPP1CA	YWHAE
PPP1CA	HIST1H3G
PPP1CA	NTRK1
PPP1CA	SPTBN1
PPP1CA	EGLN3
PPP1CA	YWHAH
PPP1CA	TNFRSF1A
PPP1CA	SMAD5
PPP1CA	SNW1
PPP1CA	PTK2
PPP1CA	MAX
PPP1CA	LRPPRC
PPP1CA	CUL3
PPP1CA	E2F1
PPP1CA	DLG2
PPP1CA	SNCA
PPP1CA	KANK1
OIP5	TFAP2D
OIP5	NPM1
OIP5	CUL3
OIP5	EIF4ENIF1
OIP5	HIST1H4K
OIP5	HIST1H4A
OIP5	MAX
OIP5	YEATS4
OIP5	HIST1H4D
OIP5	HIST1H4C
OIP5	HIST1H4E
DLG2	SLC8A3
DLG2	VIM
DLG2	IRF1
DLG2	SCN1A
DLG2	SLC9A9
DLG2	PLA2G4A
DLG2	FGF13
DLG2	GNAI2
DLG2	PPP3CB
DLG2	TNNI2
DLG2	ATP1A2
DLG2	RIMS1
SCN1A	SLC9A9
SCN1A	NOG
SCN1A	SLC8A3
SCN1A	SPTBN1
SCN1A	ATP1A2
HIST1H4A	CCNB1
HIST1H4A	HIST1H2AI
HIST1H4A	RELA
HIST1H4A	CDKN1A
HIST1H4A	RNF4
HIST1H4A	HDAC3
HIST1H4A	KAT8
HIST1H4A	HIST1H3G
HIST1H4A	NSUN5P2
HIST1H4A	NTRK1
HIST1H4A	YWHAE
HIST1H4A	CREBBP
HIST1H4A	NPM1
HIST1H4A	LRPPRC
HIST1H4A	DERL1
HIST1H4A	CCNE1
HIST1H4A	PWP2
HIST1H4A	IL6
HIST1H4A	TNFRSF1A
HIST1H4A	YAP1
HIST1H4A	HMOX1
HIST1H4A	YEATS4
HIST1H4A	CUL3
HIST1H4A	AGO1
HIST1H4A	E2F1
HIST1H4A	ATP1A2
HIST1H4A	CCNA2
HIST1H4A	DNASE1L3
HIST1H4A	CCL2
HIST1H4A	FUS
HIST1H4A	RPA3
HIST1H4A	BRCA2
BMP7	PTK2
BMP7	NOG
BMP7	VIM
BMP7	SMAD2
BMP7	MAX
BMP7	MSTN
BMP7	SMAD5
BMP7	SREBF1
BMP7	GDF5
RPE65	NGB
RPE65	HMOX1
RPE65	PTK2
DPYD	ME2
DPYD	NOG
SEC61A2	RPS21
SEC61A2	SEC63
SEC61A2	RPS15
SEC61A2	RPS9
SEC61A2	PTPRN
SEC61A2	RPL14
SEC61A2	NOG
CDKN1A	SMAD2
CDKN1A	HIST1H4C
CDKN1A	HIST1H4E
CDKN1A	HMOX1
CDKN1A	PIN1
CDKN1A	CCNE2
CDKN1A	SHC1
CDKN1A	ADIPOQ
CDKN1A	HIST1H4D
CDKN1A	MAX
CDKN1A	VIM
CDKN1A	CCNB2
CDKN1A	UBE2C
CDKN1A	E2F1
CDKN1A	CCNE1
CDKN1A	CCNA2
CDKN1A	HIST1H4K
CDKN1A	PTK2
CDKN1A	NOG
CDKN1A	RELA
CDKN1A	RNF4
CDKN1A	GTSE1
CDKN1A	RPS9
CDKN1A	CCNB1
CDKN1A	PSMD2
CDKN1A	CREBBP
CDKN1A	NPM1
CDKN1A	LRPPRC
ARFGAP1	SNW1
ARFGAP1	PTK2
ARFGAP1	COPZ1
ARFGAP1	COPG2
ARFGAP1	CD79A
ARFGAP1	SPTBN1
ARFGAP1	XBP1
ARFGAP1	SEC63
PIN1	SNCA
PIN1	PDLIM7
PIN1	PPP2R2A
PIN1	CCNB1
PIN1	RELA
PIN1	YWHAE
PIN1	HDAC3
PIN1	NPM1
PIN1	TRAF2
PIN1	SMAD2
PIN1	YAP1
PIN1	CCNE2
PIN1	DDX17
PIN1	MAX
PIN1	E2F1
PIN1	YWHAH
PIN1	CCNE1
IGKV1-33	VAV2
IGKV1-33	CD79A
IGKV1-33	FGF10
IGKV1-33	SHC1
IGKV1-33	TXK
IGKV1-33	FGF17
IGKV1-33	GAB2
IGKV1-33	FRS2
IGKV1-33	NTF4
FPR2	GNAI2
