#tail	head
CPSF2	SIN3A
CPSF2	NUPL2
CPSF2	SYMPK
CPSF2	HNRNPF
CPSF2	SF3B4
CPSF2	NUP205
CPSF2	HSPA8
CPSF2	KDM1A
CPSF2	PCBP1
CPSF2	HNRNPD
CPSF2	HNRNPK
CPSF2	MAGOH
CPSF2	NTRK1
CPSF2	HDAC1
PARP3	LDHAL6A
PARP3	NAMPT
PARP3	MAX
PARP3	INS
MYEF2	NTRK1
MYEF2	SFXN1
MYEF2	LEF1
MYEF2	HNRNPD
LATS1	TFIP11
LATS1	MAX
LATS1	STK11
LATS1	NINL
LATS1	E2F1
MAP3K21	HIF1AN
MAP3K21	STAT1
MAP3K21	GIGYF2
SEC61B	RPL28
SEC61B	AGA
SEC61B	MED23
SEC61B	RIPK4
SEC61B	HSPA8
SEC61B	SEC23A
SEC61B	HIF1AN
SEC61B	MAX
SEC61B	BBC3
SEC61B	FBXW7
SEC61B	GFAP
SEC61B	UBR5
SEC61B	SORBS3
GNGT2	FXYD4
GNGT2	TAS2R9
GNGT2	HTR3D
GNGT2	DVL3
GNGT2	FZD5
GNGT2	POMC
GNGT2	GNG4
GNGT2	ADCY5
GNGT2	CORT
GNGT2	CGA
GNGT2	FXYD3
GNGT2	KCNJ10
GNGT2	GPSM1
GNGT2	GPSM3
GNGT2	SLC24A5
GNGT2	CCL4L2
GNGT2	ATP1A3
CCDC155	CYBC1
CCDC155	FXYD3
CCDC155	POMC
CCDC155	KDM1A
POMC	AOC1
POMC	GNG4
POMC	STAT1
POMC	GPSM3
POMC	CGA
POMC	GPSM1
POMC	CDK5R1
POMC	FZD5
CORT	GPSM1
CORT	GNG4
CORT	TFDP2
CORT	GPSM3
CORT	E2F1
CORT	AP1S2
SLCO1B1	INS
SLCO1B1	PDE7A
SLCO1B1	CDK5R1
SLCO1B1	CHEK1
SLCO1B1	ELK1
SLCO1B1	KCNMB1
SLCO1B1	STAT1
SLCO1B1	PRDX6
SLCO1B1	CYP2A6
SLCO1B1	E2F1
STAT1	CDK6
STAT1	IL7R
STAT1	HDAC1
STAT1	HNRNPK
STAT1	NTRK1
STAT1	RBPJ
STAT1	RPL28
STAT1	E2F1
STAT1	ARL6IP5
STAT1	HSPA8
STAT1	SYMPK
STAT1	MOV10
STAT1	PCDH7
STAT1	MED15
STAT1	CBX3
STAT1	ISG15
STAT1	ZFPM1
STAT1	LRP5
STAT1	GSK3B
STAT1	PHGDH
STAT1	GFAP
STAT1	SIN3A
STAT1	GNG4
STAT1	SF3B4
EZR	DDX6
EZR	SEC23A
EZR	ISG15
EZR	NTRK1
EZR	HDAC1
EZR	DVL3
EZR	PHGDH
EZR	SMTN
EZR	SPINT1
EZR	STIP1
EZR	SEMA7A
EZR	FBXO6
EZR	NOLC1
GPSM3	TAS2R9
GPSM3	CCL4L2
GPSM3	RIPK4
GPSM3	CTAG1B
GPSM3	GNG4
GPSM3	MAX
HNRNPD	HSPA8
HNRNPD	IL1A
HNRNPD	GCLM
HNRNPD	E2F1
HNRNPD	ATP7A
HNRNPD	PCBP1
HNRNPD	MOV10
HNRNPD	SEC23A
HNRNPD	HNRNPK
HNRNPD	MAGOH
HNRNPD	NTRK1
HNRNPD	CHEK1
HNRNPD	PYCR1
HNRNPD	FGF11
HNRNPD	IL7R
HNRNPD	PHGDH
HNRNPD	RBM4
HNRNPD	GSK3B
HNRNPD	SMTN
HNRNPD	SPINT1
HNRNPD	EIF6
HNRNPD	ELK1
HNRNPD	VDAC1
