#tail	head
PSMA4	PRICKLE1
PSMA4	UBE2E1
PSMA4	CARD9
PSMA4	PSMD7
PSMA4	PSMA3
PSMA4	PSMB2
PSMA4	THOP1
PSMA4	TGFBR1
OVOL1	FAM90A1
OVOL1	HDAC2
TSGA10IP	HSF2BP
TSGA10IP	LZTS1
TSGA10IP	CCDC13
TSGA10IP	CARD9
LZTS1	FAM90A1
LZTS1	CCDC13
LZTS1	CARD9
LZTS1	KAZN
THOP1	PSMA3
THOP1	PSMD7
THOP1	PSMB2
KBTBD13	NT5C1B
KBTBD13	UBE2E1
FAM90A1	HSF2BP
FAM90A1	CCDC13
FAM90A1	CARD9
PSMD7	UBE2E1
PSMD7	PSMA3
PSMD7	TGFBR1
PSMD7	PSMB2
PSMD7	PRICKLE1
PRICKLE1	PSMA3
PRICKLE1	PSMB2
UBE2E1	PSMA3
UBE2E1	PSMB2
TGFBR1	TRIM25
TGFBR1	PPP1R16B
TGFBR1	PSMA3
TGFBR1	PSMB2
PPP1R16B	TRIM25
PSMB2	PSMA3
CARD9	CCDC13
CARD9	HSF2BP
NT5C1B	TRIM25
TRIM25	KAZN
TRIM25	PSMA3
CCDC13	HSF2BP
HDAC2	PSMA3
