#tail	head
RUNX2	SMAD2
RUNX2	CDK1
RUNX2	RUNX1
RUNX2	TP53
RUNX2	DPYSL5
RUNX2	GREB1L
CUL3	APP
CUL3	UBE2B
CUL3	CCT3
CUL3	MCM6
CUL3	HSPB1
CUL3	CALM3
CUL3	SPTAN1
CUL3	CTTN
CUL3	NXF1
CUL3	CLTC
CUL3	SMARCC1
CUL3	ACTB
TMTC4	SCN3B
TMTC4	PCDH12
TMTC4	NXF1
CCNH	RMI1
CCNH	SMARCC1
CCNH	CDK1
CCNH	RFC3
CCNH	IWS1
CCNH	TCEA1
CCNH	RUNX1
CCNH	GTF2H1
CCNH	FANCD2
CCNH	TP53
HSPB1	GNPAT
HSPB1	PTPRA
HSPB1	TP53
HSPB1	TGFB1
HSPB1	EIF3M
HSPB1	AHR
HSPB1	MCM6
HSPB1	CDK1
HSPB1	MME
HSPB1	MCM2
FANCD2	RUNX1
FANCD2	GTF2H1
FANCD2	RMI1
FANCD2	RFC3
FANCD2	HIST1H3J
FANCD2	MCM6
FANCD2	SPTAN1
FANCD2	MCM2
FANCD2	TCEA1
FBXL3	UBE2B
FBXL3	CCT3
NCF2	NOX3
NCF2	TP53
PTPRA	SUCLG1
PTPRA	CALM3
PTPRA	SPTAN1
PTPRA	LYN
AGPS	MCM2
AGPS	CAT
AGPS	GNPAT
SH3KBP1	SPTAN1
SH3KBP1	NXF1
SH3KBP1	NAGK
SH3KBP1	IGKV1-12
SH3KBP1	TCEA1
SH3KBP1	SGTA
SH3KBP1	EIF3M
SH3KBP1	HLA-E
SH3KBP1	CLTC
SH3KBP1	CCT3
SH3KBP1	IGHV3-30
SH3KBP1	LYN
SH3KBP1	CTTN
SH3KBP1	SIPA1L3
SH3KBP1	SYNJ2
SH3KBP1	IDH1
PROSER2	GNPAT
PROSER2	ACTB
PROSER2	APP
ERGIC3	TMEM141
ERGIC3	ZDHHC15
ERGIC3	PEX16
APP	TMEM216
APP	ARFGAP3
APP	MME
APP	SPTAN1
APP	NXPE3
APP	MCM2
APP	CLK3
APP	DGAT1
APP	ACTB
APP	CAT
APP	ERVFRD-1
APP	VANGL1
APP	METTL16
APP	AHR
APP	TP53
APP	TGFB1
APP	RAB1B
APP	TCEA1
APP	CDK1
APP	EIF3M
APP	GREB1L
APP	SIPA1L3
APP	PNPLA5
SCRN1	RUNX1
SCRN1	NAGK
NXPE3	SCGB2A2
NXPE3	CRP
NXPE3	ERVFRD-1
NXPE3	FAM209A
FAM209A	TMEM141
MME	ACTB
MME	HDAC8
MME	LYN
MME	EIF3M
RUNX1	SMAD2
RUNX1	CDK1
RUNX1	SCN3B
RUNX1	AHR
RUNX1	SMARCC1
RUNX1	HIST1H3J
HDAC8	DGAT1
HDAC8	TP53
HDAC8	GNPAT
HDAC8	HIST1H3J
HDAC8	SMAD2
TGFB1	TP53
TGFB1	AHR
TGFB1	CAT
TGFB1	SMAD2
TGFB1	CALM3
GNPAT	CAT
GNPAT	IDH1
GNPAT	SCGB2A2
GNPAT	SUCLG1
PCDH12	ACTB
SGTA	EIF3M
SGTA	SPTAN1
SGTA	CCT3
SGTA	CTTN
SGTA	CLTC
SGTA	IDH1
SGTA	NXF1
SGTA	TCEA1
SGTA	NAGK
SGTA	SIPA1L3
RMI1	RFC3
RMI1	TCEA1
