#tail	head
POLR2E	ZNF830
PPP2R2A	AR
PPP2R2A	PTF1A
PPP2R2A	NTRK1
NTRK1	HNRNPC
NTRK1	HADH
NTRK1	NPM1
NTRK1	NUDT21
ST18	HNF4A
TTI1	HNF4A
EPAS1	KPNA3
EPAS1	COMMD8
EPAS1	PIAS2
HNF4A	NVL
HNF4A	NUDT21
HNF4A	HNRNPC
HNF4A	AR
HNF4A	CD3D
HNF4A	BARD1
CTH	FDPS
CTH	MAOB
IGF2	KAT2B
NPM1	AGO2
NPM1	NUDT21
ACOT2	HADH
IRF1	CYB5B
IRF1	KAT2B
CALM2	AR
HNRNPC	NUP88
PTK2	MAOB
PTK2	ITGAM
RXRB	LRRC3B
NUDT21	MCC
NUDT21	HNRNPU
AR	PTF1A
AR	PIAS2
ASAH1	PLAT
PLAT	SLC22A1
FBXO7	HADH
HMG20A	PSMD9
RELB	HNRNPU
MAOB	SLC22A1
CYB5B	MCC
MCC	DNAAF4
RPS27	HNRNPU
BTRC	HNRNPU
BTRC	PSMD9
