#tail	head
EIF1	OLFM2
WTAP	HIST2H4B
WTAP	HIST1H4D
KRT8	NCKAP1
RUVBL2	MCM3
ESR1	SIN3B
ESR1	MGMT
ESR1	SLC30A3
ESR1	SREBF1
RPS27A	FBXL20
RPS27A	HNRNPH1
RPS27A	DDB1
RPS27A	SREBF1
OLFM2	FEM1B
HDAC7	HIST2H3A
HDAC7	HIST2H4B
HDAC7	HIST1H4J
HIST1H2BB	HIST1H4J
BARD1	XRCC6
BARD1	WDR61
BARD1	HIST1H4J
BARD1	HIST1H3E
BARD1	RBM17
HIST1H2AM	MORF4L1
HIST1H2AM	HIST2H3A
HIST1H2AM	MGMT
HIST1H2AM	MCM2
HIST1H2AM	HIST1H4J
NPIPB13	TP63
ATP1B2	RPL26
MCM2	HIST1H4J
MCM2	PSMB5
MCM2	MORF4L1
MCM2	MCM3
MCM3	DDX20
MCM3	ATM
MCM3	HIST1H4J
IGF2BP3	PITX2
IGF2BP3	THOC3
IGF2BP3	YBX1
NELFCD	INTS1
HIST1H4D	MGMT
RBM26	CERK
HNRNPH1	RNF31
HNRNPH1	CBX1
HNRNPH1	HIST2H3A
HNRNPH1	GPANK1
NONO	HIST1H3E
TRPM8	ATP2A2
GPANK1	STMN3
RPS28	RPL11
RPS28	RPL26
WDR61	CPSF4
WDR61	WDR5
SETD1B	HIST2H4B
TP63	SP1
EIF2D	WDR5
TP53	XRCC6
TP53	RPL11
MORF4L1	APEX1
HPX	SLC30A3
RPL26	YBX1
CBX1	HIST1H4J
DDB1	DCUN1D2
DDB1	TRAF6
APEX1	MRE11
MEF2A	CTR9
MEF2A	KCNJ11
MEF2A	PITX2
YBX1	SP1
PTCD3	HIST3H2BB
HIST3H2BB	HIST1H2AL
HIST3H2BB	ATM
SP1	COX5A
SP1	TAF15
XRCC6	MRE11
KRTAP12-2	TRIM42
WDR5	HIST1H4J
HIST2H4B	TAF15
HIST2H4B	MLLT1
HIST2H4B	HIST1H3E
PSMB5	PPP2R5C
ADRA1B	ATM
SIN3B	HIST1H4J
SIN3B	HIST1H3E
HIST1H4J	MRE11
CTR9	HIST1H3E
MLLT1	HIST1H3E
MRE11	HIST1H3E
HIST1H3E	MCM4
