#tail	head
GNG2	APP
GNG2	PIK3CD
GNG2	CCL20
GNG2	GCGR
GNG2	FGF7
GNG2	ADM2
GNG2	GNGT1
GNG2	GRB2
GNG2	FPR1
GNG2	ICOS
GNG2	GNB4
GNG2	HTR3D
GCGR	GNGT1
GCGR	GNB4
OR2A5	GNGT1
OR2A5	REEP3
SLC24A1	GRB2
SLC24A1	HTR3D
SLC24A1	APP
HNF4A	KAT5
HNF4A	MAPK7
HNF4A	XPO1
HNF4A	PKN2
HNF4A	HIST1H2BF
HNF4A	SYTL4
HNF4A	POLL
HNF4A	EFNB1
HNF4A	GTPBP3
HNF4A	GTF2E1
HNF4A	FGF7
HNF4A	INTS7
HNF4A	MT2A
SRCAP	KAT5
SRCAP	PDK1
SRCAP	HIST1H2BF
ADM2	GNGT1
ADM2	GNB4
PIK3CD	GNB4
PIK3CD	GNGT1
PIK3CD	EFNB1
PIK3CD	GRB2
PIK3CD	FGF7
PIK3CD	ARPC4
PIK3CD	FOXO4
GTPBP3	PDK1
INTS2	INTS11
INTS2	INTS7
INTS2	POLR2B
INTS2	GTF2E1
FOXO4	GNB4
FOXO4	FGF7
FOXO4	CLINT1
FOXO4	REL
FOXO4	EHF
FOXO4	PKN2
FOXO4	KMT2E
FOXO4	SKAP1
FOXO4	XPO1
FOXO4	APP
FOXO4	EFNB1
ICOS	GRB2
ICOS	FGF7
ICOS	GNB4
ICOS	GNGT1
CCL20	FPR1
CCL20	GNGT1
CCL20	REL
CCL20	GNB4
GNGT1	GNB4
GNGT1	FPR1
GNGT1	HTR3D
GNGT1	OR8H2
GNGT1	GRB2
GNGT1	APP
GNGT1	FGF7
GNGT1	REEP3
GNB4	GRB2
GNB4	FPR1
GNB4	FGF7
GNB4	XPO1
GNB4	APP
POLR2B	GTF2E1
POLR2B	KAT5
POLR2B	XPO1
POLR2B	HIST1H2BF
POLR2B	EIF4A3
POLR2B	INTS7
POLR2B	INTS11
EHF	APP
EHF	REL
EHF	MAPK7
EFNB1	PDX1
EFNB1	APP
EFNB1	GRB2
GTF2E1	APP
GTF2E1	INTS7
GTF2E1	INTS11
INTS7	INTS11
REL	EIF4A3
REL	XPO1
REL	GRB2
KAT5	POLL
KAT5	MT2A
KAT5	HIST1H2BF
KAT5	APP
EIF4A3	GRB2
EIF4A3	HIST1H2BF
INTS11	SPIC
REEP3	OR8H2
KMT2E	HIST1H2BF
KMT2E	MT2A
PKN2	PDK1
PKN2	SKAP1
SYTL4	RAB27B
SYTL4	PDX1
MAPK7	XPO1
MAPK7	SPIC
MAPK7	APP
APP	SKAP1
APP	SPIC
APP	POLL
APP	OR8H2
APP	GRB2
APP	RAB27B
APP	MT2A
ACTR3B	ARPC4
ACTR3B	XPO1
CLINT1	XPO1
FGF7	GRB2
SKAP1	GRB2
GRB2	ARPC4
ARPC4	XPO1
