#tail	head
TYROBP	IGHV1-69
TYROBP	IGHV1-2
TYROBP	IGKV3-11
TYROBP	FCGR3A
TYROBP	PIK3R1
TYROBP	IGHG1
EIF3H	CSNK2A2
EIF3H	SERF2
EIF3H	INS
EIF3H	RPS5
EIF3H	RPL5
EIF3H	BRCA1
VSIR	INS
VSIR	TMEM229B
TMEM30B	CDHR1
TMEM30B	TMEM230
TMEM30B	INS
INPP4A	UPP2
INPP4A	PYGB
INPP4A	SYT1
INPP4A	PIK3R1
INPP4A	ARRB2
INPP4A	AP2B1
INPP4A	INPP5F
RPL37	RPS5
RPL37	RPL9P9
RPL37	RPL5
RPL37	RPL28
RPL37	MYC
RPL37	ABL1
OPLAH	PYGB
OPLAH	SYT1
OPLAH	QARS
OPLAH	UPP2
INPP5F	PIK3R1
INPP5F	UPP2
INPP5F	PYGB
PTPRE	IPO9
PTPRE	ABL1
PTPRE	UPP2
PTPRE	PYGB
PIK3R1	IGKV3-11
PIK3R1	FCGR3A
PIK3R1	SYT1
PIK3R1	AP2B1
PIK3R1	BRCA1
PIK3R1	ARRB2
PIK3R1	IGHG1
PIK3R1	CRK
PIK3R1	IGHV1-69
PIK3R1	IGHV1-2
PIK3R1	INS
PIK3R1	ABL1
KYNU	SLC7A6
KYNU	FLOT1
INS	RPS5
INS	MYC
INS	OS9
INS	RPL5
INS	HMOX2
INS	SLC7A6
INS	CYB5B
INS	TMEM230
INS	CRK
FCGR3A	IGHV1-69
FCGR3A	IGHG1
FCGR3A	CRK
FCGR3A	IGKV3-11
FCGR3A	IGHV1-2
REEP4	CYB5B
REEP4	SERF1B
REEP4	OR5AK2
REEP4	TMEM229B
PYGB	QARS
PYGB	ENTPD5
UPP2	ENTPD5
CYB5B	SLC7A6
CYB5B	SYT1
CYB5B	QARS
CYB5B	TMEM35A
ARRB2	RPL28
ARRB2	SYT1
ARRB2	AP2B1
ARRB2	CSNK2A2
ARRB2	MYC
ARRB2	GPR35
MYC	IPO9
MYC	RPS5
MYC	BRCA1
MYC	RPL9P9
MYC	RPL5
MYC	CRK
MYC	HIST1H4I
MYC	CSNK2A2
MYC	ABL1
RPL28	TMEM230
RPL28	RPL5
RPL28	BRCA1
RPL28	RPL9P9
RPL28	RPS5
AP2B1	BRCA1
AP2B1	ABL1
AP2B1	SYT1
AP2B1	CRK
FLOT1	HIST1H4I
SLC7A6	SLC8A2
SLC7A6	QARS
OS9	FUT9
IGKV3-11	IGHG1
IGKV3-11	CRK
IGKV3-11	IGHV1-69
IGKV3-11	IGHV1-2
CRK	IGHV1-2
CRK	ABL1
CRK	IGHV1-69
CRK	IGHG1
CRK	RPS5
SERF1B	RNASEK
SLC8A2	GPR35
CSNK2A2	CDHR1
RPL5	RPS5
RPL5	SERF2
RPL5	BRCA1
RPL5	RPL9P9
RNASEK	HMOX2
IGHG1	IGHV1-2
IGHG1	IGHV1-69
ENTPD5	FUT9
TMEM35A	TMEM229B
OR5AK2	RTP1
ABL1	BRCA1
BRCA1	HIST1H4I
BRCA1	QARS
BRCA1	RPS5
BRCA1	RPL9P9
RPS5	RPL9P9
POTEE	HMOX2
POTEE	GPR35
IGHV1-69	IGHV1-2
HMOX2	SYT1
