#tail	head
NRP1	RHOA
STAMBP	CTNNBL1
STAMBP	TNFRSF1A
SOAT1	PKLR
GAPDHS	NUDT12
GAPDHS	SLC17A1
GAPDHS	CANT1
GAPDHS	PARP6
SP1	TRIR
SP1	SLCO2B1
SP1	ATF2
SP1	SPZ1
SP1	SEMA6C
SP1	TMED10
MDH1	NUDT12
MDH1	MED20
MDH1	BCKDHB
DNAJC8	CTNNBL1
DNAJC8	SF3B5
SLITRK1	SPZ1
RHOA	TNFRSF1A
RHOA	MED20
RHOA	RND1
ZIC2	AHCYL2
SLC38A2	PKLR
SLC38A2	SLC17A1
SLC38A2	AHCYL2
AHCYL2	SCN4A
TMED10	ARF1
BAIAP2	ADGRB1
BAIAP2	HGF
AKR1B1	NUDT12
AKR1B1	MED20
NUDT12	PKLR
ARHGDIA	CASP10
SLC1A5	ADGRG2
CASP10	TNFSF10
CASP10	SLCO2B1
CASP10	TNFRSF1A
SPZ1	EIF4E
SPZ1	MYO1C
ETS1	NR1H2
EIF4E	TNFSF10
EIF4E	YWHAB
SNTB1	SCN4A
MED20	BAG6
TRIR	CTNNBL1
