#tail	head
CABIN1	TFAP4
ATP5F1A	HIST1H2BE
ATP5F1A	STAU1
ATP5F1A	FASTKD3
ATP5F1A	POLDIP2
SRC	SQSTM1
SRC	HNRNPL
SRC	NUFIP2
SRC	APP
SRC	ITGAL
SRC	SHKBP1
RPS18	SEC61B
RPS18	FBXO7
RPS18	MAGOH
RPS18	APP
RPS18	FASTKD3
POLDIP2	APP
POLDIP2	SEMA7A
POLDIP2	FBXO7
STAU1	IFI16
STAU1	HNRNPR
STAU1	TRIM28
STAU1	APP
HNRNPR	TRIM28
HNRNPR	LEF1
RPS4Y1	MAGOH
LEF1	RFX4
LEF1	CXXC5
LEF1	YTHDF2
LEF1	PAX3
RPS5	MAGOH
RPS5	RPA1
SEMA7A	LSM11
SEMA7A	NUFIP2
SEMA7A	APP
SQSTM1	DHCR7
SQSTM1	LSM11
SQSTM1	NUFIP2
SQSTM1	TRIM28
IFI16	APP
TRIM28	ZNF773
TRIM28	ZNF430
PAX3	EDEM1
ROBO4	ELF2
H3F3A	AEBP2
H3F3A	HIST1H2BK
H3F3A	HIST1H2BE
MAGOH	HNRNPL
MAGOH	HIST1H2BE
ZNF543	APP
HIST1H2BK	RPA1
HIST1H2BK	AEBP2
NUFIP2	NBEAL2
KAT2A	HIST1H2BE
FBXO7	APP
FXR1	SHKBP1
DHCR7	SHKBP1
DHCR7	APP
LSM11	SHKBP1
SMAD9	APP
HNRNPL	RPA1
HNRNPL	SHKBP1
