#tail	head
GMPR	PDE4B
MEF2A	MAPK7
MEF2A	CNTNAP4
MEF2A	TUBA4A
NCALD	FOXO4
NCALD	TUBA4A
NCALD	SRGN
LYST	ESS2
LYST	GAR1
LYST	FOXO4
SRGN	CCL3
TUBB1	PFDN1
TUBB1	TUBA4A
TUBB1	TSPYL6
TUBB1	ARL2
TUBB1	TUBA3D
IFNA6	IL10RB
IFNA6	GHR
IFNA6	TYK2
TSR2	KIF16B
TSR2	DDX24
PFDN1	MAPK7
PFDN1	PRPS1
PFDN1	ESS2
PFDN1	TUBA4A
PFDN1	TUBA3D
HNRNPR	ESS2
HNRNPR	PTDSS2
GHR	IL10RB
GHR	TYK2
GHR	FOXO4
TSPYL6	DDX24
TSPYL6	WDR48
TUBA3D	TNFRSF1B
MAP2K1	MAPK7
MAP2K1	TYK2
GAR1	KIF16B
FOXO4	CCL3
FOXO4	PLD1
FOXO4	CNTNAP4
CCL3	PLD1
CCL3	TYK2
TUBA4A	TYK2
TUBA4A	PRPS1
ADCY7	PDE4B
ADCY7	ARL2
TYK2	IL10RB
PLD1	SGMS2
PLD1	PTDSS2
PLD1	PLA2G4D
PLD1	PLA2G16
TNFRSF1B	PSMA3
PDE4B	PRPS1
PSMA3	WDR48
PTDSS2	PLA2G16
PTDSS2	PLA2G4D
PLA2G16	PLA2G4D
PLA2G16	SGMS2
