#tail	head
IL27	IRF2
IL27	CEBPB
ZFYVE1	SPI1
ZFYVE1	HNF4A
ZFYVE1	MAGOHB
ZFYVE1	SOX5
SNCAIP	TCF3
SNCAIP	FOXO3
SNCAIP	PSMC4
SNCAIP	NUB1
SNCAIP	MYC
THOP1	PSMC4
THOP1	PSMA5
THOP1	PSMB3
CEBPB	ITGAL
CEBPB	FOXO3
CEBPB	DAXX
CEBPB	SPI1
CEBPB	SOX5
CEBPB	KAT2B
CEBPB	ESR2
CEBPB	DBP
CEBPB	RBPMS
CEBPB	FOXP2
CEBPB	ZADH2
CEBPB	MYC
CEBPB	HNF4A
CEBPB	ACSL5
STX11	MAGOHB
STX11	CTBP2
B4GALT7	EXT1
B4GALT7	ESR2
B4GALT7	MYC
B4GALT7	UGT1A4
FARSA	CFTR
FARSA	MLXIPL
FARSA	CARNS1
FARSA	ACSM5
CARNS1	HK1
CARNS1	ACSM5
LMO3	TCF3
LMO3	MYC
LMO3	DBP
LMO3	TAX1BP1
LMO3	FOXO3
LMO3	HNF4A
LMO3	SOX5
LMO3	GOLGA2
SUN2	ESR2
SUN2	PDIA6
SUN2	MYC
SUN2	ACTC1
WARS	MLXIPL
WARS	NT5C2
INPP5D	SH3GL2
INPP5D	ESR2
INPP5D	CFTR
INPP5D	EGF
TRPC6	ITPR1
TRPC6	SOD1
TRPC6	TRPC1
TRPC6	ACTA2
TRPC6	EGF
KAT2B	SOD1
KAT2B	NOX1
KAT2B	CYBB
KAT2B	MYC
KAT2B	SLC47A1
KAT2B	CTBP2
KAT2B	FOXO3
KAT2B	TCF3
KAT2B	IRF2
KAT2B	ACTA2
KAT2B	LGALS3
OAT	MYC
OAT	RPN1
OAT	SOD1
ESR2	BUB3
ESR2	PSMA5
ESR2	MAGOHB
ESR2	AKR1C2
ESR2	MYC
ESR2	PSMC4
ESR2	GOLGA2
ESR2	ADD1
ESR2	MYO16
ESR2	LGALS3
ESR2	CTBP2
ESR2	NIPBL
ESR2	PDIA6
ESR2	SOD1
ESR2	MLXIPL
ESR2	FOXO3
ESR2	HK1
ESR2	ACTC1
ESR2	ITPR1
ESR2	RBPMS
DAXX	GOLGA2
DAXX	HIPK3
DAXX	TCF3
DAXX	MYC
DAXX	TAX1BP1
DAXX	TRAF3
ACTA2	ITPR1
ACTA2	HNF4A
ACTA2	BUB3
ACTA2	LGALS3
ACTA2	TRPC1
ACTA2	ACTC1
ACTA2	SOD1
ACTA2	EGF
ACTA2	MYO16
PSMA5	TRPC1
PSMA5	MYC
PSMA5	PSMB3
PSMA5	CFTR
PSMA5	HNF4A
PSMA5	SLC4A7
PSMA5	NUB1
PSMA5	BUB3
PSMA5	PSMC4
PSMA5	GSTT1
MLXIPL	NMRAL1
MLXIPL	ACSL5
SLC47A1	SOD1
SLC47A1	CYBA
SLC47A1	KRT14
SLC47A1	SERPING1
SLC47A1	MYC
SLC47A1	SH3GL2
PIGV	TCF3
PIGV	IRF2
LGALS3	CYBA
LGALS3	SLC4A7
LGALS3	GOLGA2
LGALS3	SOD1
LGALS3	CFTR
LGALS3	CYBB
ACSL5	ADH5
ACSL5	HNF4A
ACSL5	NT5C2
ACSL5	ACSM5
MICALL2	MYC
MICALL2	DBP
BUB3	FOXO3
BUB3	PSMC4
BUB3	HNF4A
BUB3	RPN1
BUB3	PSMB3
TRPC1	ITPR1
