#tail	head
ADRA2A	GNG10
ADRA2A	MMP2
ADRA2A	CASR
ADRA2A	CCL11
ADRA2A	NOG
ADRA2A	GNB2
ADRA2A	GNG11
ADRA2A	GNGT1
SCYL2	FBXO6
CYP2C9	MMP2
CYP2C9	NOG
CYP2C9	FOXO1
CYP2C9	NR1I2
BTG2	POPDC2
BTG2	NOG
EGR1	NR1I2
F5	SERPINC1
IGHG1	SH3KBP1
IGHG1	EPO
IGHG1	SEMA6C
IGHG1	DAPP1
IGHG1	GNG11
IGHG1	PCDH1
IGHG1	APOA4
IGHG1	KLB
IGHG1	FGF17
IGHG1	IGHV3-9
FLNA	PRPF8
FLNA	GNB2
FLNA	SH3KBP1
FLNA	ITGAV
FLNA	ITGB7
FLNA	TCF4
MMP2	CASR
MMP2	SLC22A3
MMP2	HRH4
MMP2	AOC3
ETS1	ITGB7
ETS1	NOG
ETS1	JUND
PELI2	FOXO1
PELI2	MEIS1
SLC22A3	NR1I2
SLC22A3	CCL11
SLC22A3	KCNA1
PTH1R	PCNX3
PTH1R	GNG10
PTH1R	GNG11
PTH1R	GNGT1
PTH1R	GNB2
SH3KBP1	IGHV3-9
SH3KBP1	GNG11
SH3KBP1	RAC2
SH3KBP1	GNB2
SH3KBP1	TCF4
SH3KBP1	EPO
SH3KBP1	NOG
SH3KBP1	SERPINB1
TCF4	ZADH2
TCF4	GNG10
TCF4	ARPC1A
TCF4	FGF17
TCF4	NOG
CCL11	HRH4
CCL11	P2RY4
CCL11	GNG10
P2RY4	GNG11
P2RY4	GNG10
GNG11	FZD4
GNG11	GNB2
GNG11	RAC2
GNG11	HRH4
GNG11	CHRM2
GNG11	NOG
GNG11	KLB
GNG11	DAPP1
GNG11	GNG10
GNG11	FGF17
KLB	GNB2
KLB	EPO
KLB	DAPP1
TAS2R9	GNGT1
TAS2R9	GNAT3
TAS2R9	GNB2
FBXO6	RAC2
FBXO6	EEF1D
FBXO6	PRPF8
FBXO6	HIST1H4F
EEF1D	SGTA
EEF1D	PRPF8
EEF1D	PKN2
RAC2	GNB2
RAC2	ARHGAP28
RAC2	DAPP1
RAC2	GRIN2B
RAC2	GNGT1
RAC2	IGHV3-9
RAC2	FGF17
RAC2	NOG
RAC2	GRIK4
FOXO1	AOC3
FOXO1	KCNA1
FOXO1	NOG
TBX2	MEIS1
TBX2	NOG
YWHAQ	PRPF8
YWHAQ	HIST1H4F
DAPP1	GNG10
DAPP1	EPO
DAPP1	IRF1
DAPP1	GNB2
GNGT1	SAG
GNGT1	GNAT3
GNGT1	FZD4
GNGT1	HRH4
GNGT1	NOG
GNGT1	CHRM2
FZD4	IL16
FZD4	GNG10
FZD4	EPO
FZD4	ARPC1A
E2F4	RPS16
E2F4	NELL2
CASR	HRH4
CASR	GNB2
CASR	SLC8B1
HIRA	NOG
HIRA	JUND
ITGB4	ITGB7
ITGB4	ITGAV
COLEC11	MASP2
COLEC11	SLC8B1
COLEC11	NELL2
ITGB7	IRF1
EPO	FGF17
EPO	GNG10
SLC47A1	NOG
SLC47A1	NR1I2
SERPINB1	NOG
SERPINB1	NR1I2
HIST1H4F	RPS16
HIST1H4F	PRPF8
HIST1H4F	POPDC2
PCDH1	FGA
PCDH1	APOA4
GNAT3	GNB2
GNAT3	HRH4
GNB2	SLC24A5
GNB2	SGTA
GNB2	CHRM2
GNB2	GNG10
GNB2	FGF17
GNB2	HRH4
SGTA	SYNCRIP
SGTA	ARPC1A
IGHV3-9	GNG10
IGHV3-9	FGF17
WNT6	MEIS1
WNT6	NOG
WNT6	SAG
WNT6	GNG10
ITGAV	FGA
RPS16	PRPF8
GRIN2B	SLC8B1
GRIN2B	TRPM5
GRIN2B	PKN2
GRIN2B	SLC24A5
POPDC2	PCNX3
GNG10	FGF17
GNG10	HRH4
GNG10	SLC24A5
SERPINC1	FGA
NOG	IRF1
NOG	RHOJ
NOG	SYNCRIP
NOG	KCNA1
NOG	MEIS1
NOG	ZADH2
NOG	NELL2
PRPF8	SYNCRIP
APOA4	FGA
MEIS1	IL16
MEIS1	ARPC1A
SLC8B1	SLC24A5
SLC8B1	GRIK4
SAG	CHRM2
AOC3	ZADH2
SLC24A5	KCNA1
ARPC1A	CHRM2
CHRM2	PKN2
IRF1	ZADH2
IL16	HRH4
