#tail	head
LAMP1	TMEM106B
TUFM	RPS6
TUFM	XPO1
SPAST	SEC61B
SPAST	NOG
SPAST	FOXO4
LRIF1	BANP
LRIF1	UBE2V2
NME2	UBE2N
NME2	RTN4
NME2	EFTUD2
FOXO4	ASB7
FOXO4	TAL1
FOXO4	YBX1
FOXO4	DDIT4L
CDC73	SFN
CDC73	EFTUD2
CDC73	XPO1
CDC73	NUCB2
CDC73	PSMC2
CDC73	RANBP2
ARHGEF17	SFN
CSNK1A1	XPO1
CSNK1A1	PSMB8
CSNK1A1	SFN
CSNK1A1	YBX1
CSNK1A1	PSMB3
HYPK	EFTUD2
RIDA	DDIT4L
PDLIM7	XPO1
PDLIM7	NOG
TAL1	CELA3A
KAT8	RUVBL1
KAT8	MCRS1
PIP5K1C	STAM2
PIP5K1C	ABI2
UBE2V2	ITCH
PSMC2	PSME2
INPPL1	RPP30
INPPL1	XPO1
SUMF2	FBXW7
GTF2F2	CDC23
DDX24	SLX4
DDX24	RPL37A
SFN	XPO1
SFN	RPS6
RANBP3	IGKC
EFTUD2	SEPT9
EFTUD2	DAP3
EFTUD2	RUVBL1
EFTUD2	GTF2I
MSX2	CLIC3
PDGFRA	MAF
PDGFRA	MEF2A
PDGFRA	ABI2
RPS25	RPP30
RPS25	RPS6
RPS25	SEC61B
PRR13	DDIT4L
RPS27	ESRRB
RPS27	NOG
RPS27	XPO1
RPS27	SKA1
RPS27	RTN4
RPS27	SEC61B
RPS27	RANBP2
RPS27	RPS6
UBE2N	STAM2
UBE2N	CDC23
SKA1	PPP2CA
PLAG1	NOG
ITCH	PSMD3
YBX1	PSMA4
PSME2	MYOD1
STAM2	ZFYVE9
PSMB8	DDIT4L
PSMB8	RELB
RPL37A	KNOP1
PSMA4	THOP1
PSMA4	CDC23
LAMTOR5	EIF3A
NOG	PPP2R2C
NOG	PPP2CA
NOG	GTF2I
NOG	RTN4
GTF2I	SRF
XPO1	MYOD1
XPO1	RELB
IKBKE	PSMD3
BAK1	SEC61B
