#tail	head
CACNA2D2	NCALD
CACNA2D2	INS
CACNA2D2	PLA2G4A
CACNA2D2	GRIK3
CACNA2D2	TMOD1
CACNA2D2	ATP2A1
CACNA2D2	CACNA2D3
CACNA2D2	PYGL
CACNA2D2	CCL2
CACNA2D2	AKAP1
CACNA2D2	TPCN1
CACNA2D2	ATP2C2
CACNA2D2	CAMK2B
CACNA2D2	TPM2
CACNA2D2	TCAP
CACNA2D2	PLN
CACNA2D2	CHRNA4
CACNA2D2	CACNA1C
CACNA2D2	NFATC3
NCALD	TMOD1
NCALD	TPM2
NCALD	TCAP
NCALD	CACNA1C
NCALD	ATP2A1
NCALD	PLA2G4A
NCALD	NFATC3
NCALD	MYL6B
NCALD	CAMK2B
NCALD	ATP2C2
NCALD	PYGL
RAB11FIP2	SH3PXD2A
RAB11FIP2	RAB11FIP4
EGR1	REPIN1
EGR1	INS
EGR1	NFATC3
EGR1	SP1
EGR1	TJP1
EGR1	CAND1
EGR1	ARF6
SEH1L	TJP1
SEH1L	POTEE
SEH1L	TMOD1
SEH1L	DHCR7
SEH1L	NAGK
SEH1L	ANXA7
SEH1L	SGTA
SEH1L	KIF5B
SEH1L	HADHB
CAND1	SLAMF1
CAND1	ASB12
CAND1	OGA
CAND1	REPIN1
CAND1	HIST1H2AK
CAND1	SP1
CAND1	CARS
CAND1	CACNA1C
TPM2	MYL6B
TPM2	CACNA2D3
TPM2	TCAP
TPM2	CACNA1C
TPM2	GRIK3
TPM2	AKAP1
TPM2	TPCN1
TPM2	REPIN1
AKAP1	MYL6B
AKAP1	PLA2G4A
AKAP1	TMOD1
AKAP1	CAMK2B
AKAP1	ATP2C2
AKAP1	PYGL
AKAP1	ATP2A1
AKAP1	OGA
AKAP1	TCAP
AKAP1	PLN
AKAP1	CHRNA4
INS	OGA
INS	RPS18
INS	RAB18
INS	CCL2
INS	TRAF6
INS	MORF4L2
INS	ATP2C2
INS	PRKAA2
INS	HADH
INS	PLA2G4A
INS	CARS
INS	OSGEP
INS	RBM6
INS	FOXF2
INS	CACNA1C
INS	SH3PXD2A
INS	STOML1
INS	DCTN6
INS	ARF6
INS	RAB6A
INS	GNG5
INS	KIF5B
TJP1	SGTA
TJP1	CCL2
TMOD1	CACNA2D3
TMOD1	TCAP
TMOD1	CACNA1C
TMOD1	SGTA
TMOD1	CHRNA4
TMOD1	TPCN1
TMOD1	PRKAA2
SLAMF1	STOML1
SLAMF1	RAB18
CHRNA4	PLA2G4A
CHRNA4	CACNA1C
CHRNA4	TCAP
CHRNA4	PLN
CHRNA4	CAMK2B
CHRNA4	MYL6B
CHRNA4	ATP2A1
CHRNA4	NFATC3
CHRNA4	PYGL
CHRNA4	ATP2C2
HGS	RAB14
HGS	ASB12
HGS	REPIN1
ELOVL4	ACSL4
ELOVL4	PLN
ELOVL4	ALDH3B1
AVIL	DCTN6
AVIL	MYO1F
PYGL	TPCN1
PYGL	ATP2A1
PYGL	ATP2C2
PYGL	CACNA1C
PYGL	ACSL4
RAB11FIP4	ARF6
CCL2	ACKR4
MRVI1	REPIN1
MRVI1	PLN
MYO1F	REPIN1
MAP3K3	TRAF6
MAP3K3	REPIN1
MAP3K3	SP1
NFATC3	TPCN1
NFATC3	FOXF2
NFATC3	CACNA2D3
NFATC3	CACNA1C
NFATC3	GRIK3
FGG	ASB12
GNG5	FLT3LG
GNG5	CCL19
GNG5	GRIK3
GNG5	CACNA1C
GNG5	IGHV4-39
GNG5	IGLC6
TCAP	CACNA2D3
TCAP	CACNA1C
TCAP	GRIK3
TCAP	TPCN1
OGA	RAB14
OGA	HADH
OGA	SP1
OGA	ACSL4
OGA	RBM6
OGA	CARS
OGA	CYFIP1
OGA	FOXF2
OGA	REPIN1
OGA	SGTA
ATP2A1	GRIK3
ATP2A1	CACNA2D3
ATP2A1	TPCN1
ATP2A1	CACNA1C
ATP2A1	PLN
NTN3	SP1
FLT3LG	IGHV4-39
FLT3LG	IGLC6
FLT3LG	CYFIP1
MYL6B	GRIK3
MYL6B	CACNA2D3
MYL6B	CACNA1C
MYL6B	REPIN1
MYL6B	SP1
HADH	SP1
HADH	HADHB
HADH	DHCR7
HADH	CYP27A1
F13A1	ANXA7
F13A1	CACNA1C
RAB6A	DCTN6
RAB6A	RAB14
RAB6A	RAB18
RAB6A	PLA2G4A
RAB6A	SP1
SGTA	ANXA7
SGTA	DHCR7
SGTA	HADHB
SGTA	KIF5B
SGTA	NAGK
POTEE	SP1
CARS	TRAF6
CARS	PRKAA2
SP1	NAGK
SP1	TPCN1
SP1	EEF2K
SP1	ATM
SP1	DHCR7
SP1	ZBTB43
ZBTB43	MORF4L2
ZBTB43	NAGK
ZBTB43	DCTN6
SH3PXD2A	TRAF6
SH3PXD2A	PRKAA2
ATP2C2	GRIK3
ATP2C2	CACNA2D3
ATP2C2	TPCN1
ATP2C2	CACNA1C
PLN	REPIN1
PLN	CACNA2D3
PLN	CACNA1C
PLN	TPCN1
PLN	GRIK3
CYFIP1	TRAF6
CYFIP1	IGHV4-39
CYFIP1	IGLC6
CYP27A1	ALDH3B1
CYP27A1	DHCR7
NAGK	RBM6
CCL19	ACKR4
ACSL4	HADHB
ACSL4	PRKAA2
ACSL4	PLA2G4A
ACSL4	ALDH3B1
PRKAA2	ARF6
PRKAA2	REPIN1
PRKAA2	OSGEP
PRKAA2	CACNA1C
ASB12	RBM6
GRIK3	PLA2G4A
GRIK3	FOXF2
GRIK3	CACNA1C
GRIK3	REPIN1
GRIK3	CAMK2B
OSGEP	EEF2K
PLA2G4A	MAPKAPK5
PLA2G4A	TPCN1
PLA2G4A	CACNA1C
PLA2G4A	DCTN6
FOXF2	RPS18
TRAF6	ATM
TRAF6	IGHV4-39
TRAF6	IGLC6
DCTN6	KIF5B
DCTN6	RAB18
TPCN1	CAMK2B
TPCN1	REPIN1
TPCN1	CACNA1C
KIF5B	ARF6
REPIN1	CACNA2D3
IGLC6	IGHV4-39
HIST1H2AK	MORF4L2
HIST1H2AK	ABRAXAS1
CACNA2D3	CAMK2B
CACNA2D3	CACNA1C
ALDH3B1	HADHB
CAMK2B	CACNA1C
ATM	ABRAXAS1
