#tail	head
EXTL3	CSGALNACT2
EXTL3	POMGNT1
EXTL3	GRB2
SARM1	CCDC47
SARM1	C1orf87
SARM1	TLR4
LGALS3	PML
LGALS3	ESR2
PARP9	ESR2
PARP9	NAMPT
POMGNT1	HLA-C
POMGNT1	CSGALNACT2
CCDC47	NAMPT
CCDC47	ESR2
CCDC47	TNIP2
NAMPT	PML
NAMPT	ESR2
NAMPT	GIPC1
GNG13	LCK
GNG13	FGF10
GNG13	CCR5
GNG13	GNG4
GNG13	CX3CL1
GNG13	GRB2
GNG13	ESR2
GNG13	GNAS
GIPC1	SGF29
GIPC1	ESR2
GIPC1	GNAS
GIPC1	CTTN
MINPP1	C1orf87
MINPP1	ENO1
GNG4	LCK
GNG4	FGF10
GNG4	CCR5
GNG4	GRB2
GNG4	CX3CL1
GNG4	ESR2
GNG4	GNAS
TRAV29DV5	HLA-C
TRAV29DV5	LCK
CX3CL1	CCR5
CX3CL1	ESR2
ENO1	ESR2
ENO1	LCK
ENO1	GRB2
ENO1	OSBPL3
ENO1	KNSTRN
RALY	SGF29
RALY	CTTN
RALY	ESR2
PML	ESR2
PML	HTN3
HTN3	GRB2
HTN3	TSHZ1
HLA-C	ESR2
OSBPL3	ESR2
TSHZ1	TNIP2
TNIP2	GNAS
TNIP2	KNSTRN
TNIP2	CTTN
FGF10	LCK
FGF10	GRB2
FGF10	ESR2
LCK	CCR5
LCK	GRB2
LCK	ESR2
GRB2	CTTN
GRB2	ESR2
GNAS	SGF29
GNAS	ESR2
GNAS	CTTN
SGF29	CTTN
SGF29	ESR2
SGF29	KNSTRN
CTTN	ESR2
