#tail	head
AKR1B10	CYBRD1
PTCD3	MTRF1L
PTCD3	MRPS21
PTCD3	OXA1L
PTCD3	MRPL44
PTCD3	MRPS7
PTCD3	MRPS12
PTCD3	ZC3H3
MRPL42	MRPL47
MRPL42	MRPS12
MRPL42	MTRF1L
MRPL42	MRPS21
OXA1L	MRPL44
OXA1L	MRPS7
OXA1L	MRPS34
OXA1L	MRPL9
MTRF1L	MRPL50
MTRF1L	MRPS12
MTRF1L	MRPL10
MRPL10	MRPS9
MRPL10	MRPS21
MRPL10	MRPL21
MRPL10	MRPS34
MRPL10	MRPL9
MRPS34	MRPL47
MRPS34	MRPS21
MRPS34	MRPS9
MRPS34	MRPL21
ZC3H3	MRPS9
ZC3H3	MRPL21
ZC3H3	MRPS21
ZMIZ1	ALDH2
SCLT1	HLA-A
MRPS21	HSPD1
MRPS21	MRPL44
MRPS21	MRPS12
FATE1	SEC22C
FATE1	CERS4
MRPS12	MRPL47
MRPS12	MRPL9
MRPS12	MRPS9
CERS4	IPPK
MRPL50	HSPD1
MRPL50	MRPL21
SYVN1	TFAP4
HSPD1	NAPA
HSPD1	MRPS9
HSPD1	ALDH2
MRPS7	MRPL47
MRPS9	MRPL9
MRPS9	MRPL47
MRPS9	MRPL21
CYBRD1	PLP2
MRPL9	MRPL21
CKAP4	TMEM67
MRPL21	MRPL44
MRPL21	MRPL47
MRPL47	MRPL44
