#tail	head
GOPC	GRK6
PAX2	LOX
IGKV2-30	SYK
GRK6	GNB3
TGFB1	HSPA8
TGFB1	TNF
TGFB1	PAX4
TGFB1	GNB3
TRAF6	DCXR
TRAF6	FGFR4
TRAF6	SYK
TRAF6	RPS27A
TRAF6	HSPA8
KCNJ9	GRM3
HIST1H4C	ATF2
HIST1H4C	CAND1
HIST1H4C	IL12B
HIST1H4C	SMN1
HIST1H4C	RPS27A
ARF3	PAX4
FGFR4	SYK
RUSC1	ATF2
RUSC1	CTAG1B
LINC01600	EFEMP2
KRTAP15-1	KRTAP19-5
STAT3	SYK
STAT3	KAT5
STAT3	ATF2
NCBP1	RPS27A
NCBP1	NUP205
HSPA8	TECR
HSPA8	FANCC
HSPA8	TSC22D3
HSPA8	RPS27A
IL12B	TNF
IL12B	CYP2C19
RPS27A	KAT5
RPS27A	NUP205
IDH3G	P4HA3
DCTPP1	NME7
TNF	TSC22D3
TNF	ERCC6
LOX	EFEMP2
CYSRT1	KRTAP6-2
SYK	NFKBIA
SYK	PIK3CA
SMN1	KRTAP6-2
NCKAP1L	GNB3
GNB3	GRM3
HEY2	KRTAP6-2
LUC7L3	PAX4
PAX4	ATM
PAX4	GRM3
PAX4	KAT5
PAX4	TSPAN13
TM7SF2	CYP2C19
ATF2	ALB
KAT5	CYP2C19
KRTAP19-5	KRTAP6-2
NME7	IQCN
