#tail	head
PCDHGC4	ACTR2
PBXIP1	RORA
NTRK1	KIFAP3
NTRK1	DCK
NTRK1	PTPN13
CCDC149	MFHAS1
REEP5	OR6N1
LCP2	PTPN6
LCP2	FYN
LCP2	GNG11
LCP2	IGLV1-40
LCP2	HLA-DPB1
LCP2	PDGFRA
LCP2	IGLC1
LCP2	VAV1
HLA-DPB1	PTPN6
FYN	IL1RAP
FYN	NRG2
FYN	PDGFRA
FYN	TULP4
FYN	IGLV1-40
IL1RAP	FGF9
IL1RAP	VAV1
TFRC	PTPN13
FLYWCH2	HIST1H3H
OR5H6	RTP1
OR5H6	KRT9
COPS6	FBXL22
COPS6	DCAF12
COPS6	DCUN1D2
DGKH	ETS2
FAM192A	KIFAP3
MGAT4C	SRY
FCGR2C	ETS2
WDTC1	DCUN1D2
WDTC1	CUL4A
PFDN2	DCAF12
CD28	FGF9
CD28	GNG11
CD28	PDGFRA
CD28	IGLV1-40
NRG2	VAV1
NRG2	IGLV1-40
DGKZ	ALK
DGKZ	VAV1
IGLV1-40	VAV1
GCM1	PCBP4
PCBP4	ETS2
RTP1	OR6N1
FGF9	GNG11
STAP1	ETS2
CUL4A	HIST1H3E
CUL4A	KRT9
CUL4A	COMMD9
PDGFRA	PTPN13
PDGFRA	ETS2
HIST1H3E	PAX6
ACTR2	ETS2
ETS2	PAX6
KRT9	ITGA4
