#tail	head
SPIRE1	HNRNPL
SPIRE1	BCL7A
SPIRE1	FBXW11
FBXW11	HNRNPA2B1
FBXW11	MYOD1
FBXW11	CTNNA1
FBXW11	HNRNPL
PCDHA11	ACTA2
PCDHA11	CTNNA1
FHL2	FAM214B
FHL2	HIPK2
FHL2	GNG4
FHL2	CREBBP
PIK3R1	IGLV2-14
PIK3R1	IGHV2-70
PIK3R1	ACTA2
PIK3R1	IGLV1-44
PIK3R1	LRP2
PIK3R1	INPP5K
PIK3R1	PACSIN3
PIK3R1	GNG4
PIK3R1	BDNF
PIK3R1	CSF2
PIK3R1	KLB
PIK3R1	PAK1
PIK3R1	GNGT1
PIK3R1	CTNNA1
PIK3R1	CD3G
PIK3R1	CD247
PIK3R1	IGLV2-23
PIK3R1	IGHV3-30
PIK3R1	RET
PIK3R1	IGKV3D-20
PIK3R1	BID
PIK3R1	HLA-E
PIK3R1	AXL
PIK3R1	IGLV2-8
KLB	IGHV2-70
KLB	IGHV3-30
KLB	IGLV1-44
KLB	INPP5K
KLB	GNG4
KLB	BDNF
KLB	AXL
KLB	IGLV2-8
KLB	IGLV2-14
KLB	GNGT1
KLB	CD3G
KLB	CD247
KLB	IGLV2-23
KLB	IGKV3D-20
KLB	HLA-E
GNGT1	GNG4
GNGT1	BDNF
GNGT1	PAK1
GNGT1	AXL
GNGT1	IGHV2-70
GNGT1	INPP5K
GNGT1	IGLV2-14
GNGT1	CD247
GNGT1	TAAR2
GNGT1	IGLV2-23
GNGT1	IGKV3D-20
GNGT1	IGLV2-8
GNGT1	CD3G
GNGT1	IGLV1-44
GNGT1	HLA-E
GNGT1	GNAS
GNGT1	IGHV3-30
PCDH12	ACTA2
PCDH12	MYOD1
PCDH12	CTNNA1
TAAR2	GNG4
TAAR2	GNAS
MYOD1	MANSC1
MYOD1	PACSIN3
MYOD1	GNAS
MYOD1	BDNF
MYOD1	BCL7A
MYOD1	CREBBP
IGLV2-8	BDNF
IGLV2-8	AXL
IGLV2-8	GNG4
IGLV2-8	JCHAIN
IGLV2-8	CD3G
IGLV2-8	CD247
IGLV2-8	HLA-E
IGLV2-8	INPP5K
IGLV2-8	IGHV2-70
IGLV2-8	IGHV3-30
HNRNPA2B1	HNRNPL
HNRNPA2B1	CSF2
CTNNA1	PAK1
CTNNA1	BDNF
CTNNA1	RET
HLA-E	IGLV1-44
HLA-E	IGHV2-70
HLA-E	IGHV3-30
HLA-E	INPP5K
HLA-E	IGLV2-14
HLA-E	GNG4
HLA-E	IGLV2-23
HLA-E	IGKV3D-20
HLA-E	CD3G
HLA-E	CD247
DIP2A	MANSC1
DIP2A	FAM214B
CREBBP	HIPK2
CREBBP	HNRNPL
CREBBP	SMARCD1
CREBBP	ACTA2
CREBBP	CSF2
IGHV2-70	IGKV3D-20
IGHV2-70	CD3G
IGHV2-70	CD247
IGHV2-70	IGLV1-44
IGHV2-70	JCHAIN
IGHV2-70	BDNF
IGHV2-70	AXL
IGHV2-70	INPP5K
IGHV2-70	IGLV2-14
IGHV2-70	IGLV2-23
IGHV2-70	GNG4
ICE2	JCHAIN
ICE2	RET
ICE2	ACTA2
LRP2	INPP5K
LRP2	PACSIN3
LRP2	MANSC1
HIPK2	BDNF
HIPK2	HNRNPL
GNG4	INPP5K
GNG4	IGLV2-14
GNG4	IGLV2-23
GNG4	IGKV3D-20
GNG4	BDNF
GNG4	AXL
GNG4	HNRNPL
GNG4	CD3G
GNG4	CD247
GNG4	IGLV1-44
GNG4	GNAS
GNG4	IGHV3-30
GNG4	PAK1
HNRNPL	NUCB2
HNRNPL	RET
HNRNPL	GNAS
PACSIN3	INPP5K
PACSIN3	SMARCD1
PACSIN3	CD3G
NUCB2	MANSC1
NUCB2	SMARCD1
NUCB2	GNAS
SMARCD1	BCL7A
IGHV3-30	IGLV1-44
IGHV3-30	IGLV2-23
IGHV3-30	CD3G
IGHV3-30	CD247
IGHV3-30	IGKV3D-20
IGHV3-30	JCHAIN
IGHV3-30	INPP5K
IGHV3-30	IGLV2-14
IGHV3-30	AXL
IGHV3-30	BDNF
IGLV2-23	BDNF
IGLV2-23	AXL
IGLV2-23	INPP5K
IGLV2-23	CD247
IGLV2-23	CD3G
IGLV2-23	JCHAIN
AXL	CD3G
AXL	IGKV3D-20
AXL	IGLV1-44
AXL	INPP5K
AXL	IGLV2-14
AXL	CD247
INPP5K	BDNF
INPP5K	CD3G
INPP5K	CD247
INPP5K	IGKV3D-20
INPP5K	IGLV2-14
INPP5K	IGLV1-44
CD3G	IGLV2-14
CD3G	BDNF
CD3G	BID
CD3G	CD247
CD3G	IGLV1-44
CD3G	CSF2
CD3G	IGKV3D-20
CSF2	BID
CSF2	CD247
CD247	BDNF
CD247	IGLV2-14
CD247	IGKV3D-20
CD247	BID
CD247	IGLV1-44
BDNF	IGLV2-14
BDNF	BID
BDNF	IGKV3D-20
BDNF	IGLV1-44
JCHAIN	IGKV3D-20
JCHAIN	IGLV2-14
JCHAIN	IGLV1-44
PAK1	BID
PAK1	ACTA2
