#tail	head
NUMBL	TRAF6
CBY1	GAB2
CBY1	UHRF1BP1
DGKE	IGKV1D-33
DGKE	IGKV2D-40
DGKE	IGHV3-53
DGKE	GNG12
GRHL1	RXRA
GRHL1	ZNF76
TRAF6	GNG12
TRAF6	INS
TRAF6	UBE2N
TRAF6	IGKV1D-33
TRAF6	IGHV3-53
TRAF6	KLB
TRAF6	RELA
TRAF6	CD3G
TRAF6	MEOX2
MEOX2	CCDC103
MEOX2	MAX
MEOX2	SMAD3
PDCD6IP	PLXNA2
PDCD6IP	CHMP4A
PDCD6IP	MYC
TUBB4A	RELA
TUBB4A	TUBA4A
TUBB4A	SNW1
TUBB4A	MEIS1
TUBB4A	MAX
TUBB4A	FBXO7
GNAZ	GNG12
GNAZ	SLC25A6
GNAZ	ADCY6
PMPCB	MYC
PMPCB	MAX
PMPCB	HSPD1
RXRA	POLR2B
RXRA	SMAD3
RXRA	POLR2G
RXRA	SNW1
IGKV1D-33	BDNF
IGKV1D-33	IGHV3-53
IGKV1D-33	PIP5K1C
UHRF1BP1	RAPGEF2
CHMP4A	INS
IGKV2D-40	C1R
IGKV2D-40	CD3G
IGKV2D-40	GAB2
IGKV2D-40	GNG12
IGKV2D-40	PIP5K1C
IGKV2D-40	KLB
IGKV2D-40	BDNF
HSPA1B	HSPD1
HSPA1B	MYC
HSPA1B	RELA
HSPA1B	SORBS2
HSPA1B	TUBA4A
HSPA1B	RAPGEF2
HSPA1B	SNW1
SLC25A6	ADCY6
SLC25A6	MAX
SLC25A6	HSPD1
SLC25A6	RELA
TUBA4A	MAX
TUBA4A	MYC
TUBA4A	POLR2B
CD3G	IGHV3-53
CD3G	BDNF
CD3G	GAB2
POU4F1	SMAD3
POU4F1	RIT2
POLR2G	RAD51D
POLR2G	MEIS1
POLR2G	POLR2B
MYC	SNW1
MYC	MAX
MYC	SLC1A1
MYC	ALDH3B1
MYC	CCT5
MYC	SMAD3
MYC	UBE2N
MYC	MEIS1
MYC	POLR2B
MRAS	RALGDS
HSPD1	SNW1
HSPD1	INS
HSPD1	TAZ
HSPD1	MRC2
HSPD1	SORBS2
TMEM185A	INS
TMEM185A	RRAS
ALDH3B1	SLC9A3
ALDH3B1	MEIS1
SMCO4	CLTRN
POM121	HELZ
POM121	UNC5CL
POM121	INS
CCDC103	INS
CA1	INS
HELZ	SORBS2
CYP1B1	INS
CYP1B1	RELA
INS	PDCL
INS	ADCY6
INS	PLA2G2A
INS	MEIS1
INS	CLTRN
INS	PIP5K1C
INS	CCDC69
INS	KLB
CLTRN	SLC9A3
GAB2	KLB
GAB2	RRAS
GAB2	GNG12
GAB2	BDNF
GAB2	MEIS1
GAB2	IGHV3-53
PLXNA2	TAZ
PLXNA2	MEIS1
PDCL	CCT5
FBXO7	PNOC
RALGDS	RELA
RALGDS	RAPGEF2
RALGDS	RIT2
RALGDS	RRAS
RAD51D	EFHD2
RAD51D	POLR2B
RELA	RRAS
KLB	GNG12
KLB	PIP5K1C
KLB	IGHV3-53
KLB	BDNF
SYNPR	SLC1A1
SORBS2	SNW1
SORBS2	CCT5
C1R	IGHV3-53
SNW1	POLR2B
SNW1	CCT5
SNW1	SMAD3
MRC2	SMAD3
RAPGEF2	POLR2B
MEIS1	PNOC
MEIS1	SMAD3
MEIS1	POLR2B
ADCY6	GNG12
PNOC	GNG12
RRAS	MAX
SLC1A1	MAX
SLC1A1	TTLL9
TAZ	PLA2G2A
MAX	CCT5
PIP5K1C	GNG12
PIP5K1C	IGHV3-53
PIP5K1C	BDNF
BDNF	GNG12
IGHV3-53	GNG12
