#tail	head
SORBS3	SYP
IGLV7-43	FYN
IGLV7-43	IGHV2-5
TCF12	NR3C1
USO1	REPIN1
PIK3CB	KLB
PIK3CB	CUX1
LYPLA2	ABCC1
LYPLA2	ACSM3
LYPLA2	ACSM4
MOGAT2	ACAT2
FOXO1	APOA2
ACTB	CRK
ACTB	PTPN1
NR3C1	ABCC1
NR3C1	PABPC4
NR3C1	ALDH5A1
NR3C1	RPS27A
KLRK1	KLB
PABPC4	SH2B2
PABPC4	ABCC1
FYN	CUX1
FYN	IL1B
FYN	PTPN1
ADH6	ACOX1
ACADL	ACOX1
REPIN1	NSG2
PBX1	POLR2F
RPS27A	PIK3R3
RPS27A	NR1D1
ACAD10	PCDHA12
SULF2	GNS
IL1B	APOA2
HIST1H2BB	POLR2F
CHAT	MOGAT1
CUX1	IGHV2-5
IGHV2-5	PIK3R3
PIK3R3	KLB
PIK3R3	ANKS1A
ZNF746	MYBBP1A
MOGAT1	ACSM4
MOGAT1	ACAT2
ACSM4	ACAT2
ACSM4	ACOX1
ACAT2	ACOX1
ACOX1	ACSM3
ALDH5A1	ACSM3
