#tail	head
CORO1B	NUP107
YBX1	INS
YBX1	PUF60
YBX1	SNRPG
YBX1	CWC15
YBX1	MEPCE
YBX1	SNRPA1
YBX1	LSM3
TIAM1	MAP3K21
TIAM1	SRSF12
TIAM1	SLC9A8
TIAM1	KCTD3
EIF4E2	SRSF12
SLC9A8	AHSG
CRYGS	POT1
CWC15	SNRPA1
CWC15	PUF60
CWC15	CPSF3
NIFK	UPF1
ARL6IP6	ITGAL
PUF60	CPSF3
PUF60	IGF2BP1
CEP250	IGF2BP1
CEP250	PLK1
CEP250	HSPA1A
CEP250	INS
CEP250	RBBP4
RAB1B	ITGAL
SQSTM1	MLH1
SQSTM1	CSNK2A1
SQSTM1	NFE2
SQSTM1	KCTD3
SQSTM1	IGF2BP1
SQSTM1	INS
CEP162	CCDC61
CEP162	PLK1
COPS6	NOD1
COPS6	KCTD3
COPS6	FBXL8
COPS6	SNRPG
JADE2	SP3
SNRPA1	SNRPG
SNRPA1	HMG20B
MEPCE	SNRPG
RFC2	MRE11
RFC2	WDR48
RFC2	MLH1
NFE2	MAPK8
LSM3	SNRPG
MLH1	SDC3
PLK1	MRE11
PLK1	RBBP4
PLK1	SPC24
PLK1	HIST1H4A
PLK1	CENPM
HMG20B	RBBP4
ZNF576	ZBTB33
ZNF576	UPF1
CSNK2A1	IGF2BP1
CSNK2A1	INS
CSNK2A1	HSPA1A
CSNK2A1	UBE2R2
CSNK2A1	RBBP4
CSNK2A1	MRE11
CSNK2A1	TINF2
UBE2R2	FBXL8
CENPM	RBBP4
CENPM	SPC24
HIST1H4A	POT1
HIST1H4A	DERL1
HIST1H4A	RBBP4
INS	CCDC61
INS	NCK2
INS	SNRPG
INS	RBBP4
INS	MAPK8
INS	IGF2BP1
DPP3	TINF2
AHSG	DERL1
AHSG	HSPA1A
DERL1	HSPA1A
RBBP4	SP3
RBBP4	HOXA1
RBBP4	HSPA1A
MAP3K21	HSPA1A
NUP107	HSPA1A
NUP107	SPC24
NUP107	SNRPG
CCDC61	ZBTB33
ZBTB33	WDR48
MAPK8	PRR3
SRSF12	KCTD3
