#tail	head
MYL12A	APP
MYL12A	CHUK
PXN	FN1
PXN	EREG
PXN	LGR4
PRPF31	CDR2L
PRPF31	CREB1
PRPF31	SRRM2
DUSP16	FGFR3
CSNK2B	ELK1
TFRC	SRRM2
TFRC	LCN2
TFRC	APP
KCNN2	PAX4
PBX1	HCFC1R1
PBX1	PHF21A
PBX1	VDR
PBX1	HIST1H3C
UBE2A	ZMYM2
UBE2A	PAX4
UBE2A	CDK9
SERPINH1	SLC2A3
SERPINH1	GNB2
SERPINH1	SHKBP1
SERPINH1	EIF4B
SERPINH1	CDK9
SERPINH1	PHGDH
SERPINH1	PAICS
SERPINH1	DENND1A
IGKV2D-40	ZMYM2
IGKV2D-40	DGKG
IGKV2D-40	EREG
IGKV2D-40	FGFR3
KCNMB3	ATF1
TTBK2	GABARAPL2
TTBK2	RORA
TTBK2	ZWINT
SRRM2	EIF4B
SRRM2	PHGDH
SRRM2	DENND1A
SRRM2	HIST1H3C
PHGDH	FN1
PHGDH	SLC2A3
PHGDH	ATF1
PHGDH	SHKBP1
PHGDH	CDK9
ATP6V1G2	GABARAPL2
ATP6V1G2	PYGB
KCNH4	FXYD7
HDAC4	MEF2A
HDAC4	CDR2L
HDAC4	STAT2
HCFC1R1	PAX4
DGKG	CREB1
LGR4	ATP1A2
LGR4	KIDINS220
ELL2	TAF5
ELL2	CCNT2
IFT88	EIF4B
PAF1	CHUK
PAF1	CDK9
PAF1	SUPT6H
PAF1	CDK7
PTPRA	EPHA10
PTPRA	CDK7
PTPRA	SPTBN2
PTPRA	FGFR3
FGFR3	ZMYM2
FGFR3	DUSP10
PYGB	ATP1A2
PYGB	APP
PYGB	DNM2
POLR2C	HIST1H3C
POLR2C	TAF9
POLR2C	AQR
KDM1A	EFTUD2
KDM1A	ZMYM2
KDM1A	PHF21A
KDM1A	HIST1H3C
DUSP10	MEF2A
OTC	SLC2A3
OTC	ATP1A2
CHUK	MCC
CHUK	ELK1
CDK7	TAF5
CDK7	VDR
CDK7	STAT2
CDK7	CDK9
GABARAPL2	VDR
GABARAPL2	PAICS
GABARAPL2	APP
CBFB	HIST1H2AD
CBFB	CDK4
DENND1A	SEPT2
STAT2	ZBP1
STAT2	CDK9
STAT2	EREG
TAF9	EFTUD2
TAF9	APP
EFTUD2	ATF1
EFTUD2	ELK1
EFTUD2	FN1
EFTUD2	HNRNPR
FN1	KIDINS220
FN1	PAICS
FN1	ELK1
EIF4B	HIST1H3C
ELK1	PLEKHH2
ELK1	SUPT6H
CDK9	SUPT6H
CDK9	DNM2
CDK9	CIT
VDR	GNB2
VDR	KIDINS220
VDR	HNRNPR
GHRH	GNG10
SEPT2	SHKBP1
SEPT2	PAICS
SEPT2	GNB2
SEPT2	SLC2A3
GNB2	MEF2A
GNB2	SHKBP1
GNB2	ATP1A2
GNB2	FXYD7
GNB2	PAX4
HIST1H3C	MSH6
HIST1H3C	TAF5
HIST1H3C	HIST1H2AD
MEF2A	MEF2D
MEF2A	CREB1
MEF2A	KIAA1551
MEF2A	ZMYM2
FXYD7	PAX4
FXYD7	SCN2B
WFDC3	CREB1
EREG	IGKV1-33
PAX4	TAF5
CDK4	APP
RORA	PLEKHH2
CREB1	APP
CREB1	SLC2A3
