#tail	head
HIST1H2BA	CREB1
HIST1H2BA	ERCC6
HIST1H2BA	H3F3A
HIST1H2BA	SMC1B
HIST1H2BA	PRMT1
HIST1H2BA	THBS1
ATP5F1A	MATR3
ATP5F1A	ATP6V1B2
ATP5F1A	P4HB
ATP5F1A	CDK2
ATP5F1A	CDK9
CREB1	PRKG1
CREB1	TSPAN7
CREB1	CRK
CREB1	TNF
CREB1	DNAJC27
CREB1	THOC1
CREB1	ESR2
P4HB	SSR1
P4HB	ESR2
P4HB	CDK2
P4HB	CDK9
P4HB	TNF
PLEKHG4	SAXO1
PLEKHG4	TEKT3
PLEKHG4	MATR3
CDK9	MATR3
CDK9	CDK2
CDK9	ESR2
PRMT1	H3F3A
PRMT1	TNF
PRMT1	THBS1
PRMT1	SSR1
PRMT1	ESR2
PRMT1	THRB
PRMT1	THOC1
PRMT1	CDK2
PRMT1	HIST1H2BD
ELANE	ERCC6
ELANE	FMR1
ELANE	TNF
ELANE	THBS1
PPP1R12A	TNF
PPP1R12A	SSR1
PPP1R12A	CRK
PPP1R12A	CDK2
PPP1R12A	PRKG1
CDK2	TNF
CDK2	MATR3
THBS1	HIST1H2BD
THBS1	PRKG1
THBS1	TNF
THBS1	H3F3A
THBS1	ESR2
CCDC146	KIFC3
CCDC146	VPS28
KRTAP19-5	KIFC3
KRTAP19-5	KRTAP8-1
KRTAP19-5	TEKT3
FMR1	ESR2
FMR1	TNF
FMR1	SSR1
FMR1	THOC1
FMR1	IL4
VPS28	SAXO1
SCRIB	HEATR5B
SCRIB	ESR2
THRB	MPG
THRB	H3F3A
CAAP1	THOC1
CAAP1	ESR2
FAM124A	SAXO1
FAM124A	KIFC3
FAM124A	PRKG1
SMC1B	HIST1H2BD
TEKT3	KRTAP8-1
HIST1H2BD	ERCC6
HIST1H2BD	H3F3A
CRK	SAXO1
CRK	DNAJC27
CRK	MATR3
CRK	MPG
ATP6V1B2	TSPAN7
SSR1	MATR3
SSR1	ESR2
ERCC6	IL4
ERCC6	H3F3A
ERCC6	TNF
KIFC3	ESR2
THOC1	ESR2
MPG	ESR2
HEATR5B	ESR2
ESR2	TNF
ESR2	MATR3
TNF	IL4
