#tail	head
OOEP	ENKD1
HMGB3	HIST1H3G
HMGB3	H3F3A
HMGB3	JUN
HMGB3	GSS
M6PR	AP2A2
M6PR	NINJ2
M6PR	JUN
AP2A2	IL7R
AP2A2	IQGAP1
AP2A2	ARF6
AP2A2	EPS15
AP2A2	SSR1
AP2A2	JUN
AP2A2	EREG
PLIN3	SSR1
PLIN3	AAR2
ENKD1	ZRANB1
ENKD1	DYDC1
ENKD1	MID2
DYNLL2	PPP2R5E
CEBPA	NOTCH1
CEBPA	SSR1
CEBPA	DBH
CEBPA	HDAC2
CEBPA	BCL6
CEBPA	PTK2
CEBPA	ARF6
SFXN5	SLC18A1
SFXN5	JUN
SPRED2	HRAS
SPRED2	NDUFB7
SF3B2	LSM8
SF3B2	JUN
SF3B2	HIST1H3I
SF3B2	HIST1H3G
SF3B2	AAR2
SF3B2	H3F3A
NIF3L1	GNMT
NIF3L1	CCDC102B
HIST1H3I	CDC27
HIST1H3I	H3F3A
HIST1H3I	HDAC2
HIST1H3I	TSR1
HIST1H3I	HDGF
NOTCH1	IKZF3
NOTCH1	H3F3A
NOTCH1	NAMPT
NOTCH1	IL1B
NOTCH1	EPS15
NOTCH1	JUN
IQGAP1	SSR1
IQGAP1	ARF6
IQGAP1	HDGF
IQGAP1	LSM8
IQGAP1	SLCO1B3
IQGAP1	AAR2
IQGAP1	JUN
IQGAP1	CDH1
IQGAP1	CASP3
IQGAP1	LRRFIP2
CALM1	HRAS
CALM1	TXK
CALM1	AAR2
CALM1	GRIN2A
CALM1	ACTN2
TLE6	HDAC2
PPP2R5E	DNASE2B
PPP2R5E	HRAS
IL7R	IL1B
EREG	EPS15
EREG	IL1B
EREG	TXK
EREG	HRAS
EREG	IGLV1-51
EREG	NINJ2
LSM8	HDGF
JUN	UQCRC2
JUN	HRAS
JUN	BCL6
JUN	NAMPT
JUN	HIST1H3G
JUN	HDGF
JUN	TSR1
JUN	CDC27
JUN	LRRFIP2
JUN	CAPZA1
JUN	SLCO1B3
BCL6	HDAC2
BCL6	TRIB3
BCL6	IL1B
BCL6	HRAS
BCL6	CDC27
STK16	SAXO1
STK16	ADAMTSL4
CHRND	ATG9A
CHRND	ACTN2
CHRND	GRIN2A
NAMPT	AAR2
NAMPT	MAGOH
NAMPT	ARF6
NAMPT	CASP3
NAMPT	WIPI1
NAMPT	HRAS
AAR2	SSR1
AAR2	CAPZA1
AAR2	HDGF
AAR2	UQCRC2
H3F3A	HDAC2
H3F3A	HIST1H3G
H3F3A	CDH1
TRIB3	SAXO1
PTK2	CDH1
PTK2	GSS
PTK2	CASP3
PTK2	SLCO1B3
EPS15	ARF6
EPS15	CDH1
ARF6	UQCRC2
ARF6	HRAS
ARF6	IL1B
UQCRC2	SSR1
ATXN2L	SSR1
GSS	GNMT
GSS	IL1B
GSS	CASP3
ZRANB1	MID2
IL1B	CASP3
IL1B	CDH1
IL1B	HRAS
IL1B	CCL20
IL1B	SLCO1B3
ADAMTSL4	ATG9A
ADAMTSL4	GNMT
WIPI1	DNASE2B
SSR1	HDGF
SSR1	CDH1
HDAC2	HIST1H3G
HDAC2	HDGF
HDAC2	CDH1
HDAC2	IKZF3
SAXO1	ACTN2
CAPZA1	LRRFIP2
CAPZA1	CDH1
CDH1	CASP3
CDH1	HIST1H3G
CDH1	GPRIN1
MID2	IKZF3
MID2	ZBTB24
CASP3	HRAS
CASP3	DBH
HRAS	IKZF3
HDGF	TSR1
SLC18A1	DBH
ACTN2	GRIN2A
TSR1	HIST1H3G
