#tail	head
TNS2	FOXF2
NTRK1	DCX
NTRK1	NOG
NTRK1	USP10
FZD1	INS
FZD1	GNB3
FZD1	FSHB
POU1F1	DCX
POU1F1	HOXB9
POU1F1	HPN
CD79A	LAT2
FOXF2	MYLK
FOXF2	HOXB9
FOXF2	BMP3
TRAF6	IGLC1
TRAF6	INS
TRAF6	IGLV3-1
GPR3	F8
MYLK	HIST1H4A
MYLK	NOG
MYLK	MYH7B
SYDE2	RHOJ
EGLN3	ZNHIT6
EGLN3	NOG
SULT1A3	XBP1
LAT2	IGLC1
LAT2	IGLV3-1
KL	IGLV3-1
HOXB9	NOG
HOXB9	ZNF384
FSHB	GNB3
FSHB	SMAD3
F9	ZNHIT6
NOG	PAFAH1B1
NOG	ORM1
NOG	SLC46A3
ARHGAP39	INS
ASCC1	SMAD3
ZNF384	INS
HIST1H4A	ACTN2
PRKCG	IGLV3-1
INS	SLC5A1
NCK2	PEAK1
PALM	RASGRF1
F8	PAFAH1B1
DOCK1	IGLC1
ACTN2	SMAD3
