#tail	head
CYP1A2	HNF4A
LCK	HSPG2
LCK	GNAI2
LCK	TFDP1
LCK	DUSP22
LCK	COL4A3
SIRT7	HIST1H4E
SIRT7	HNRNPUL1
HNF4A	LTA4H
HNF4A	DYRK1A
HNF4A	INS
HNF4A	DCTN2
HNF4A	PTPN11
HNF4A	ARMT1
HNF4A	SLC26A1
HNF4A	SNRNP70
HNF4A	DNAJB12
HNF4A	LIMS1
PRKCI	INS
RWDD2B	APP
HNRNPUL1	MAX
HNRNPUL1	SNRPA1
HNRNPUL1	SNRNP27
HNRNPUL1	SNRNP70
STX16	DUSP22
PIK3R2	APP
SEH1L	GNAI2
SEH1L	DNAJB12
SEH1L	CENPE
SEH1L	DCTN2
SEH1L	SNRNP70
SEH1L	HSPA2
SEH1L	TOP2A
SEH1L	GJA1
CSNK1D	CTTN
CSNK1D	PPP2R5C
LIN37	HIST1H4E
LIN37	E2F4
LIN37	TOP2A
SLC26A1	UROD
SGCE	INS
IVL	HIST1H4E
TOP2A	INS
TOP2A	TFDP1
TOP2A	SNRPA1
TOP2A	HIST1H3B
HIST1H4E	APP
HIST1H4E	CENPE
HIST1H4E	HDAC2
SRP9	INS
SRP9	RPL22
SNRPA1	HIST1H3B
SNRPA1	SNRNP27
PPP2R5C	DYNC1I1
PPP2R5C	ZW10
HSPA2	APP
HSPA2	DNAJB12
INO80B	HMGXB4
GJA1	MAX
E2F4	UBR7
E2F4	HDAC2
E2F4	LIMS1
E2F4	MDGA1
CENPE	DCTN2
SGCD	MAX
HMGXB4	TFDP1
HMGXB4	UROD
DYNC1I1	DCTN2
DYNC1I1	INS
HDAC2	TFDP1
HDAC2	UBE2E2
HDAC2	CDK2AP2
INS	APP
INS	DCTN2
INS	LIMS1
ARMT1	MAX
PRKCH	MAZ
CTTN	GNAI2
CTTN	SNRNP70
MAZ	MAX
MAZ	TFDP1
SSTR2	APP
MDGA1	TFDP1
MDGA1	APP
UBR7	TFDP1
ICAM1	APP
ICAM1	UROD
TFDP1	UROD
SNRNP70	GNAI2
SNRNP70	HIST1H3B
SNRNP70	APP
GNAI2	APP
