#tail	head
HIST1H2BI	RUNX1
HIST1H2BI	HIST2H4B
HIST1H2BI	SUN1
HIST1H2BI	YWHAQ
HIST1H2BI	NCOR2
HIST1H2BI	TGM2
HIST1H2BI	MAGEB2
MEIS2	RUNX1
MEIS2	MAFG
MEIS2	TCF3
YWHAQ	CKB
YWHAQ	ERBB2
YWHAQ	HNRNPL
YWHAQ	TGM2
YWHAQ	HIST2H4B
YWHAQ	TNF
YWHAQ	G3BP1
YWHAQ	PRDX1
YWHAQ	OBSL1
IL12B	TNF
IL12B	ALDH1A3
IL12B	PIK3R1
IL12B	IL13RA1
IL12B	HIST2H4B
IL12B	CSF3R
IL12B	NCOR2
HCFC1	QRICH2
HCFC1	HIST2H4B
PIK3R1	NLGN3
PIK3R1	ERBB2
PIK3R1	RUNX1
PIK3R1	AP2S1
PIK3R1	STAM2
PIK3R1	TCF3
PIK3R1	CAV3
PIK3R1	ANGPT2
PIK3R1	INPP5J
PIK3R1	TNF
BET1	STAM2
BET1	TRAPPC11
BET1	BSG
BET1	SEC31A
QRICH2	MAGEB2
CAV3	TNF
CAV3	ABCA1
CAV3	DLG2
CAV3	ATP2B4
CAV3	ERBB2
BSG	PPP2R1B
BSG	ATP2B4
TCF3	CKB
TCF3	DLG2
TCF3	RBX1
TCF3	IL13RA1
TCF3	HNRNPL
TCF3	RUNX1
TCF3	NRXN3
CKB	TGM2
CKB	OBSL1
CKB	HNRNPL
RPS16	HIST2H4B
RPS16	MAGEB2
RPS16	NOC4L
STAM2	AP2S1
STAM2	INPP5J
STAM2	SEC31A
AP2S1	INPP5J
AP2S1	TNF
MAFG	RUNX1
MAFG	IL13RA1
MAFG	PRDX1
NRXN3	DLG2
NRXN3	NLGN3
NRXN3	RUNX1
OBSL1	PRDX1
OBSL1	NOC4L
OBSL1	RBX1
OBSL1	TRAPPC11
OBSL1	HIST2H4B
OBSL1	SUN1
OBSL1	HNRNPL
DLG2	RUNX1
DLG2	ATP2B4
DLG2	NLGN3
DLG2	ABCA1
PRDX1	TNF
PRDX1	PPP2R1B
PRDX1	G3BP1
HNRNPL	NLGN3
HNRNPL	PPP2R1B
HNRNPL	ERBB2
HNRNPL	DPYSL2
HNRNPL	NCOR2
IL13RA1	TNF
IL13RA1	CSF3R
RBX1	PPP2R1B
RBX1	HIST2H4B
ABCA1	NCOR2
ABCA1	TGM2
ABCA1	TNF
ALDH1A3	DPYSL2
ALDH1A3	ANGPT2
ALDH1A3	HIST2H4B
ANGPT2	TNF
SEC31A	CNIH3
SEC31A	NOC4L
INPP5J	ERBB2
DPYSL2	TNF
DPYSL2	G3BP1
RUNX1	HIST2H4B
RUNX1	NCOR2
RUNX1	CNIH3
ERBB2	TNF
ATP2B4	TNF
CSF3R	TNF
HIST2H4B	SUN1
HIST2H4B	NCOR2
HIST2H4B	TGM2
HIST2H4B	TNF
SUN1	G3BP1
NCOR2	TNF
