#tail	head
HEMGN	UBTF
SRC	CCDC8
SRC	VCP
SRC	YWHAE
SRC	MYLK
SRC	MTUS2
SRC	COL19A1
ETV1	UBB
RPS27A	FGFR4
RPS27A	CDK1
RPS27A	SYVN1
RPS27A	FANCM
TMPO	HIST1H4H
CFTR	SAMHD1
CFTR	PIK3CD
CFTR	MYH11
DCTN1	CASP4
DCTN1	ODF2
LRRK2	MFN2
LRRK2	GNAI2
LRRK2	HIST1H3G
LRRK2	TUBB3
INS	P4HB
INS	PRDX1
INS	DNA2
INS	TUBB3
INS	SLC25A22
INS	EEF1A1
P4HB	UBE2M
P4HB	SAFB
PTBP1	SAFB
PTBP1	TRIM25
PTBP1	SQSTM1
CLDN1	ESR2
MEA1	PPAT
CCDC8	NACA
CCDC8	TUBG1
ETV4	ARF3
PRDX1	MTHFD1
PRDX1	AR
PRDX1	CDK1
PRDX1	PLCB4
SPATA2	AR
HOXB3	E4F1
AVPR2	PIK3CD
DNA2	MAD2L2
TLE3	MYH1
TLE3	HIST1H3G
TLE3	HIST1H4H
FGFR4	MMP14
MFN2	CASP4
MFN2	UBB
RAB8A	YWHAE
RAB8A	CDK1
VARS	UBE2M
TRIM25	EEF1A1
ESR2	CREBBP
AHNAK	CDK1
AHNAK	ING2
MAP7D3	PCDH20
AR	MDM2
AR	CLU
BRMS1	CREBBP
NAAA	SYVN1
UBB	SQSTM1
UBB	UBE2M
GNAI2	SQSTM1
GNAI2	SAFB
XAB2	CREBBP
MYH11	TRPC3
RBBP7	CREBBP
VCP	UBE2M
VCP	CREBBP
VCP	SQSTM1
VCP	ATR
HIST1H4H	MDM2
HIST1H4H	CLU
FANCM	ATR
SYVN1	CLU
IGKC	TREH
UBE2M	PSMA3
UBE2M	MDM2
ATR	MDM2
ATR	CDK1
PSMA3	EEF1A1
HIST1H3G	CDK1
HIST1H3G	EEF1A1
PTTG1	CDK1
CASP4	SERPINA1
CDK1	MDM2
