#tail	head
CLTC	SNRNP70
CLTC	TACR1
CLTC	MYH9
CLTC	SEPHS1
CLTC	ITGA4
CLTC	PIK3CB
CLTC	YWHAG
CLTC	CLTB
CLTC	SMURF1
CLTC	SGTA
CLTC	VCL
CLTC	F8
CLTC	SYNJ2
CLTC	SMN1
CLTC	SPINT1
DLST	SMN1
DLST	SPINT1
DLST	SUCLA2
DLST	LMNA
DLST	SNRNP70
DLST	NTPCR
DLST	SEPHS1
DLST	RABL6
DLST	YWHAG
DLST	SGTA
SRRM1	SNRNP70
SRRM1	P4HA3
SRRM1	YWHAG
SRRM1	SNRPA1
SRRM1	CWC27
SRRM1	PRPF3
SRRM1	SRSF5
SRRM1	PRPF18
SRRM1	CPSF6
SRRM1	MOV10
SRRM1	NUP85
SRRM1	LMNA
SRRM1	HTATSF1
ELF1	TACR1
ELF1	HMGA1
ELF1	CBFB
ELF1	GATA1
MYH9	SEPHS1
MYH9	SMN1
MYH9	CLTB
MYH9	VCL
MYH9	SNRNP70
MYH9	SRSF5
MYH9	SPINT1
MYH9	MYL12A
MYH9	GNG12
MYH9	ITGA4
MYH9	YES1
MYH9	SGTA
MYL12A	TRPV1
MYL12A	VCL
MYL12A	ENO1
MYL12A	RABL6
MYL12A	PRKN
MYL12A	LRPPRC
MYL12A	ITGA4
PGAM5	PRKN
PGAM5	LMNA
PGAM5	YWHAG
SYNJ2	SUCLA2
SYNJ2	PIK3CB
SYNJ2	TACR1
SYNJ2	CLTB
P4HA3	COL7A1
P4HA3	SUCLA2
CPSF6	PA2G4
CPSF6	YES1
CPSF6	MOV10
CPSF6	PRPF3
CPSF6	SMURF1
CPSF6	IGKV2D-40
CPSF6	SNRPA1
CPSF6	GNG12
CPSF6	SNRNP70
CPSF6	PRPF18
CPSF6	SRSF5
CPSF6	HTATSF1
CPSF6	LMNA
CPSF6	KHSRP
CPSF6	PIK3CB
GNG12	PIK3CB
GNG12	TACR1
GNG12	YES1
GNG12	IGKV2D-40
TACR1	TRPV1
TACR1	CLTB
TACR1	PIK3CB
TACR1	F8
CWC27	SNRPA1
CWC27	SRSF5
CWC27	LMNA
CWC27	HMGA1
PA2G4	SEPHS1
PA2G4	HMGA1
PA2G4	SMN1
PA2G4	SPINT1
PA2G4	MOV10
PA2G4	SNRNP70
PA2G4	ITGA4
PA2G4	SGTA
SRSF5	HTATSF1
SRSF5	SNRNP70
SRSF5	PRPF3
SRSF5	SMN1
SRSF5	PRPF18
SRSF5	SNRPA1
SRSF5	SMURF1
SRSF5	MOV10
SRSF5	LMNA
SGTA	VCL
SGTA	MOV10
SGTA	SMN1
SGTA	SPINT1
SGTA	PDCD10
SGTA	LRPPRC
SGTA	LMNA
SGTA	CLTB
SGTA	SNRNP70
SGTA	GIPC1
SGTA	YES1
SGTA	KHSRP
SGTA	SEPHS1
CBFB	ITGA4
CBFB	SMURF1
CBFB	COL7A1
CBFB	GATA1
PRPF18	SNRPA1
PRPF18	PRPF3
PRPF18	SNRNP70
PRPF18	MOV10
PRPF18	KIFC3
PRPF18	HTATSF1
SNRNP70	SPINT1
SNRNP70	PRPF3
SNRNP70	SEPHS1
SNRNP70	SMN1
SNRNP70	KHSRP
SNRNP70	YES1
SNRNP70	MOV10
SNRNP70	LRPPRC
SNRNP70	ITGA4
SNRNP70	LMNA
SNRNP70	CLTB
SNRNP70	GIPC1
SNRNP70	SNRPA1
SNRNP70	VCL
SNRNP70	HTATSF1
HMGA1	NUP85
HMGA1	CHD1
CLTB	PIK3CB
CLTB	SEPHS1
CLTB	SMN1
CLTB	SPINT1
NDEL1	TACC3
NDEL1	KIFC3
NDEL1	YWHAG
NDEL1	VCL
NDEL1	NUP85
SMN1	SNRPA1
SMN1	VCL
SMN1	SEPHS1
SMN1	SPINT1
SMN1	MOV10
SMN1	NUP85
SMN1	LRPPRC
SMN1	LMNA
SMN1	YES1
SMN1	GIPC1
SMN1	KHSRP
LMNA	ITGA4
LMNA	SEPHS1
LMNA	PRKN
LMNA	MOV10
LMNA	ENO1
LMNA	SMURF1
LMNA	VCL
LMNA	SPINT1
LMNA	NUP85
LRPPRC	SEPHS1
LRPPRC	PRKN
LRPPRC	MOV10
LRPPRC	SMURF1
LRPPRC	ITGA4
LRPPRC	SPINT1
LRPPRC	ENO1
GATA1	RABL6
GATA1	SEC16B
TRPV1	F8
TRPV1	VCL
NTPCR	PRKN
NTPCR	ITGA4
NTPCR	SUCLA2
SMURF1	SNRPA1
SMURF1	RAD23A
TTC9C	ITGA4
RABL6	MOV10
RABL6	NUP85
IGKV2D-40	PIK3CB
IGKV2D-40	YES1
VCL	PRKN
VCL	COL7A1
VCL	YWHAG
VCL	SEPHS1
VCL	YES1
VCL	PDCD10
VCL	ITGA4
VCL	SPINT1
PDCD10	ITGA4
PDCD10	ALDH1B1
RAD23A	TACC3
RAD23A	PRKN
ALDH1B1	HMGCR
ALDH1B1	SUCLA2
HMGCR	SUCLA2
YWHAG	ITGA4
ITGA4	KHSRP
ITGA4	SNRPA1
ITGA4	ENO1
ITGA4	COL7A1
HTATSF1	MOV10
HTATSF1	PRPF3
HTATSF1	SNRPA1
SPINT1	KHSRP
SPINT1	YES1
SPINT1	SEPHS1
SPINT1	GIPC1
SPINT1	MOV10
F8	SEC16B
YES1	PIK3CB
YES1	SEPHS1
MOV10	COL7A1
MOV10	SEPHS1
MOV10	PRPF3
MOV10	SNRPA1
MOV10	CHD1
SEPHS1	GIPC1
SEPHS1	SUCLA2
SEPHS1	KHSRP
COL7A1	SEC16B
PRPF3	SNRPA1
