#tail	head
HIST1H4L	CDK2
HIST1H4L	REST
HIST1H4L	YY1
HIST1H4L	AR
HIST1H4L	TNF
HIST1H4L	GABARAPL2
NF1	GCM1
NF1	PRKCB
NF1	SYNCRIP
NF1	PRKCA
NF1	SPOP
NF1	PLEKHA7
NF1	MAZ
NF1	SLCO2A1
NF1	ELK1
NF1	TSPAN7
CGA	PLD1
CGA	TNF
CGA	CDK2
CGA	F2RL3
CGA	AR
CGA	GNG3
CGA	ABCG8
CGA	GNB4
CGA	STUB1
CGA	PPARGC1B
CGA	G6PC
CGA	CRH
CGA	FZD2
SPOP	GCM1
SPOP	UBC
SPOP	MAX
SPOP	REPIN1
SPOP	AR
SPOP	GPS1
GNB4	LPAR1
GNB4	FLT3
GNB4	TACR1
GNB4	CRH
GNB4	FZD2
GNB4	NRG1
GNB4	PRKCA
GNB4	P2RY12
GNB4	HTR5A
GNB4	MC3R
GNB4	SH3KBP1
GNB4	F2RL3
GNB4	PRKCB
GNB4	GNG3
PPARGC1B	TNF
PPARGC1B	MAX
PPARGC1B	ZFP64
PPARGC1B	GCM1
ELK1	DDIAS
ELK1	SIRT3
ELK1	CLDN7
ELK1	GABARAPL2
ELK1	YIPF3
ELK1	HSPA4
ELK1	ZFP64
ELK1	PNP
ELK1	SNCA
ELK1	TNF
ELK1	CAPZA1
BRI3BP	LPAR1
BRI3BP	P2RY12
BRI3BP	YIPF3
SLC30A6	TNF
SLC30A6	CSNK2A1
SLC30A6	S100A3
SLC30A6	CP
P2RY12	YIPF3
P2RY12	GNG3
PNP	ATP2B2
PNP	CDK2
PNP	NFE2L2
PNP	G6PC
PNP	MTMR3
PNP	CASP9
LPAR1	NFE2L2
LPAR1	GNG3
LPAR1	HACD2
FZD2	GNG3
FZD2	NRG1
FZD2	CRH
FZD2	TNF
FZD2	DLL4
FZD2	PRKCB
FZD2	PRKCA
SH3KBP1	PRKCB
SH3KBP1	GNG3
SH3KBP1	PRKCA
SH3KBP1	NRG1
SH3KBP1	IGF2BP3
SH3KBP1	CAPZA1
SH3KBP1	TACR1
SH3KBP1	HSPA8
SH3KBP1	UBC
SH3KBP1	FLT3
SH3KBP1	CSNK2A1
SH3KBP1	STUB1
SH3KBP1	SYNCRIP
SH3KBP1	PLEKHA7
HIVEP1	UBC
HIVEP1	AR
HIVEP1	IRF7
HIVEP1	MTMR3
F5	MAZ
F5	TRPV6
F5	SLC47A1
F5	CSNK2A1
F5	TNF
HACD2	UBC
HACD2	TACR1
HACD2	SLC7A8
MAX	PLA2G15
MAX	YY1
MAX	FLT3
MAX	CDK2
MAX	STUB1
MAX	CSNK2A1
MAX	SYNCRIP
MAX	SLC38A2
MAX	HSPA4
MAX	DLL4
MAX	CYBA
MAX	MAZ
MAX	GPS1
MAX	REST
MAX	CAPZA1
MAX	HSPA8
SLC7A8	SLC38A2
SLC7A8	MAZ
SLC7A8	AR
CAPZA1	TNF
CAPZA1	CSNK2A1
