#tail	head
RAB33B	RABGGTA
IFNA6	IFNG
IFNA6	SORBS1
IFNA6	DRD1
IFNA6	GRM6
RPS10	RPS4Y1
RPS10	VDAC1
RPS10	EIF3G
RPS10	EED
RPS10	WIZ
RPS10	APP
GTF3C4	EHD1
GTF3C4	EED
DDB2	POLE4
DDB2	CUL4B
DDB2	ATXN2
DDB2	TOMM40
PINK1	APP
PINK1	VDAC1
PINK1	BCL2L2-PABPN1
PINK1	TOMM40
PPP3CB	ITPR2
PPP3CB	PRKCQ
PPP3CB	IFNG
PPP3CB	WNT5A
HTT	IFNG
HTT	HIST1H3C
BUD13	RBM8A
BUD13	SNRPD1
BUD13	CPSF6
BUD13	PLRG1
BUD13	PPIL3
BUD13	TRIR
BUD13	SRRM2
BUD13	ISY1
BUD13	SNU13
RABGGTA	MAZ
PPP1CA	BCL2L2-PABPN1
PPP1CA	EED
PPP1CA	SEPT2
PPP1CA	HIST1H3C
PPP1CA	SQSTM1
PPP1CA	DLD
PPP1CA	SNRPD1
PPP1CA	CDK2
PPP1CA	ZNF827
PPP1CA	SORBS1
SRRM2	CDK2
SRRM2	HDAC2
SRRM2	LSM3
SRRM2	SORBS1
SRRM2	SNU13
SRRM2	PPIL3
SRRM2	RBM8A
SRRM2	SQSTM1
SRRM2	RPS3A
SRRM2	EED
SRRM2	SEPT2
SRRM2	APOBEC3F
SRRM2	MCM3
SRRM2	CUL4B
SRRM2	GNB1
SRRM2	MAZ
SRRM2	CFAP20
SRRM2	TRIR
SRRM2	SNRPD1
SRRM2	EIF3G
SRRM2	PLRG1
SRRM2	CDC5L
SRRM2	MFAP1
BAZ2A	CDK2
BAZ2A	HDAC2
BAZ2A	HIST1H3C
ISY1	PLRG1
ISY1	POLR2E
ISY1	CDC5L
ISY1	TRIR
ISY1	CUL4B
ISY1	POLE4
ISY1	SNU13
ISY1	MFAP1
CCL11	PRKCD
CCL11	IFNG
CCL11	NOS3
CUL4B	HDAC2
CUL4B	HIST1H3C
CUL4B	RPS25
CUL4B	EED
CUL4B	SNRPD1
CUL4B	CDK2
CUL4B	POLR2E
CUL4B	HIST4H4
CUL4B	APP
HDAC4	HIST4H4
HDAC4	IFNG
HDAC4	NIT1
HDAC4	MAZ
HDAC4	CPSF6
POLE4	CDK2
MCM3	HIST1H3C
MCM3	CDK2
MCM3	SQSTM1
MCM3	SORBS1
MCM3	CDC5L
MCM3	HIST4H4
SNRPD1	CPSF6
SNRPD1	RBM8A
SNRPD1	PLRG1
SNRPD1	CDC5L
SNRPD1	MFAP1
SNRPD1	PPIL3
SNRPD1	SNU13
SNRPD1	CFAP20
PLCB2	MAZ
PLCB2	SLC9A3R2
PLCB2	PRKCD
PLCB2	GNG13
PLCB2	ITPR2
PRKCQ	GNG13
PRKCQ	EED
PRKCQ	ITPR2
CDK2	MFAP1
CDK2	CDC5L
CDK2	HIST4H4
CDK2	APP
CDK2	IFNG
CDK2	SNU13
VDAC1	TOMM40
VDAC1	ADRB2
VDAC1	PIP5K1C
VDAC1	SQSTM1
VDAC1	RPS3A
VDAC1	ITPR2
VDAC1	IFNG
PRKCD	GNG13
PRKCD	ITPR2
PRKCD	IFNG
PRKCD	SQSTM1
PIP5K1C	SLC9A3R2
PIP5K1C	GNG13
PIP5K1C	WNT5A
PIP5K1C	GNB1
PIP5K1C	CPSF6
POLR2E	CFAP20
POLR2E	CPSF6
POLR2E	PLRG1
POLR2E	RBM8A
POLR2E	HIST1H3C
PPIL3	LSM3
PPIL3	CFAP20
PPIL3	SNU13
PPIL3	MFAP1
PPIL3	PLRG1
PPIL3	CDC5L
PLRG1	APP
PLRG1	CPSF6
PLRG1	TRIR
PLRG1	CDC5L
PLRG1	MFAP1
PLRG1	LSM3
MFAP1	CDC5L
MFAP1	LSM3
MFAP1	CPSF6
MFAP1	CFAP20
MFAP1	SNU13
RPS4Y1	RPS25
RPS4Y1	RBM8A
SORBS1	APP
SORBS1	ITPR2
SORBS1	SQSTM1
SORBS1	SLC9A3R2
SORBS1	EHD1
SORBS1	EIF3G
SORBS1	GNB1
FBN3	GADD45A
KDM2B	YAF2
KDM2B	HIST1H3C
KDM2B	POU5F1
GNG13	ITPR2
GNG13	DRD1
GNG13	GRM6
GNG13	ADRB2
SLC9A3R2	ADRB2
SLC9A3R2	SEPT2
SLC9A3R2	TOMM40
DLD	SEPT2
DLD	CPSF6
DLD	SNU13
DLD	TOMM40
DLD	EHD1
DLD	MTHFD1
DLD	EIF3G
RPS25	RBM8A
RPS25	EIF3G
RPS25	RPS3A
SEPT2	SQSTM1
SEPT2	APOBEC3F
SEPT2	GNB1
ADRB2	MTHFD1
ADRB2	GNB1
ADRB2	IFNG
DRD1	GNB1
DRD1	IFNG
DRD1	MAZ
HIST1H3C	EED
HIST1H3C	WIZ
HIST1H3C	ATAD2
GRM6	WNT5A
GRM6	IFNG
GRM6	MAZ
GRM6	GNB1
IFNG	NOS3
IFNG	APP
IFNG	WNT5A
APOBEC3F	SQSTM1
CPSF6	GNB1
CPSF6	TRIR
CPSF6	CDC5L
CPSF6	EED
CPSF6	RBM8A
RAB14	APP
RAB14	EED
EIF3G	SQSTM1
GNB1	APP
GNB1	ITPR2
GNB1	WNT5A
GNB1	SQSTM1
CFAP20	YAF2
CFAP20	TRIR
CFAP20	RBM8A
SNU13	RBM8A
SNU13	TRIR
SNU13	LSM3
TOMM40	SQSTM1
TOMM40	APP
TRIR	LSM3
TRIR	APP
TRIR	RBM8A
TRIR	CDC5L
MTHFD1	ATAD2
NIT1	PMPCA
EED	HDAC2
EED	CDC5L
EED	WIZ
EED	HIST4H4
WNT5A	NOS3
WNT5A	HIST4H4
NOS3	APP
SQSTM1	EHD1
ATG101	POU5F1
RPS3A	HIST4H4
RPS3A	YAF2
RPS3A	RBM8A
ITPR2	MYL3
MYL3	MAZ
LSM3	RBM8A
LSM3	CDC5L
POU5F1	MAZ
POU5F1	CDC5L
POU5F1	APP
HDAC2	CDC5L
HDAC2	WIZ
ATAD2	HIST4H4
