#tail	head
YY1	H2AFX
YY1	PRKAG1
YY1	SMAD1
YY1	XPC
YY1	WDHD1
WDHD1	PIK3CA
DIS3	SNRNP27
SUDS3	USP17L29
SUDS3	H2AFV
SUDS3	TET1
SUDS3	HSP90AA1
SUDS3	SIN3A
FRS2	RET
FRS2	PIK3CA
SPIN2B	XPC
FOXF2	SMAD1
FOXF2	SIN3A
FOXF2	CDK14
XPC	ATM
PRKAG1	SLC5A1
PRKAG1	HSP90AA1
PRKAG1	RPSA
SMAD1	SLC4A2
SMAD1	ATM
POLR2D	H2AFX
POLR2D	ATM
PPARA	DICER1
PPARA	SIN3A
PPARA	SLC6A14
PPARA	HSP90AA1
SLC13A2	SLC6A14
SLC13A2	FXYD6
SLC13A2	SLC1A1
SLC13A2	SLC5A1
CA10	MAFG
PIK3CA	HSP90AA1
PIK3CA	JAZF1
PIK3CA	RET
PIK3CA	SLC5A1
SNRNP27	RBMX
DICER1	RPSA
DICER1	RBMX
DICER1	HSP90AA1
RPSA	HSP90AA1
RPSA	RBMX
SLC39A8	SLC5A1
USP17L2	H2AFX
H2AFX	POT1
H2AFX	SIN3A
H2AFX	ATM
LYN	ITK
LYN	HSP90AA1
BTD	SLC6A14
POU3F1	CDK14
POU3F1	C1orf43
HSP90AA1	CDK14
HSP90AA1	SLC5A1
AFAP1L2	RET
NRTN	RET
SLC5A1	SLC6A14
SLC5A1	SLC1A1
FXYD6	SLC6A14
